NOC,Name,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Birth_Year,Total_Competitions
AFG,Fahim Anwari,0,0,0,0,1999,2
AFG,Fariba Hashimi,0,0,0,0,2003,1
AFG,Farzad Mansouri,0,0,0,0,2002,1
AFG,Kimia Yousofi,0,0,0,0,1996,2
AFG,Mahdi Yovari,0,0,0,0,1997,1
AFG,Mahmood Noor,0,0,0,0,1991,2
AFG,Samim Faizad,0,0,0,0,2002,1
AFG,Yulduz Hashimi,0,0,0,0,2000,2
AIN,Abubakar Khaslakhanau,0,0,0,0,2004,1
AIN,Alena Ivanchenko,0,0,0,0,2003,1
AIN,Alexey Korovashkov,0,0,0,0,1992,1
AIN,Alina Zmushka,0,0,0,0,1997,2
AIN,Anastasiya Shkurdai,0,0,0,0,2003,2
AIN,Anzhela Bladtceva,0,0,0,0,2005,1
AIN,Daniil Medvedev,0,0,0,0,1996,3
AIN,Diana Shnaider,1,0,1,0,2004,2
AIN,Ekaterina Alexandrova,0,0,0,0,1994,2
AIN,Elena Vesnina,0,0,0,0,1986,1
AIN,Evgenii Somov,0,0,0,0,1999,2
AIN,Georgiy Gurtsiev,0,0,0,0,2000,1
AIN,Gleb Syritsa,0,0,0,0,2000,2
AIN,Hanna Tserakh,0,0,0,0,1998,2
AIN,Ilya Shymanovich,0,0,0,0,1994,1
AIN,Ivan Litvinovich,1,1,0,0,2001,1
AIN,Mahamedkhabib Kadzimahamedau,0,0,0,0,1994,1
AIN,Mirra Andreeva,1,0,1,0,2007,3
AIN,Olesia Romasenko,0,0,0,0,1990,1
AIN,Pavel Kotov,0,0,0,0,1998,1
AIN,Roman Safiullin,0,0,0,0,1997,2
AIN,Siuzanna Valodzka,0,0,0,0,2000,1
AIN,Tamara Dronova,0,0,0,0,1993,2
AIN,Tatsiana Klimovich,0,0,0,0,1995,1
AIN,Uladzislau Kravets,0,0,0,0,1999,1
AIN,Viyaleta Bardzilouskaya,1,0,1,0,2005,1
AIN,Yauheni Tsikhantsou,1,0,0,1,1998,1
AIN,Yauheni Zalaty,1,0,1,0,1999,1
AIN,Yuliya Trushkina,0,0,0,0,2002,1
AIN,Zakhar Petrov,0,0,0,0,2004,2
ALB,Briken Calja,0,0,0,0,1990,1
ALB,Chermen Valiev,1,0,0,1,1998,1
ALB,Erkand Qerimaj,0,0,0,0,1988,1
ALB,Franko Burraj,0,0,0,0,1998,1
ALB,Indrit Cullhaj,0,0,0,0,1997,1
ALB,Islam Dudaev,1,0,0,1,1995,1
ALB,Izmir Smajlaj,0,0,0,0,1993,1
ALB,Kaltra Meca,0,0,0,0,2008,1
ALB,Kledi Kadiu,0,0,0,0,1974,1
ALB,Luiza Gega,0,0,0,0,1988,2
ALB,Manuela Delilaj,0,0,0,0,1966,2
ALB,Matvei Petrov,0,0,0,0,1990,1
ALB,Nikol Merizaj,0,0,0,0,1998,1
ALB,Zelimkhan Abakarov,0,0,0,0,1993,1
ALG,Abdelhafid Benchabla,0,0,0,0,1986,1
ALG,Abdelkarim Fergat,0,0,0,0,1994,2
ALG,Abdelmalek Merabet,0,0,0,0,2000,1
ALG,Abdelmalik Lahoulou,0,0,0,0,1992,1
ALG,Adem Boudjemline,0,0,0,0,1994,1
ALG,Akram Bounabi,0,0,0,0,1999,1
ALG,Ali Boudina,0,0,0,0,1990,2
ALG,Ali Gouaned,0,0,0,0,2002,1
ALG,Amel Melih,0,0,0,0,1993,2
ALG,Amina Belkadi,0,0,0,0,1992,1
ALG,Amine Bouanani,0,0,0,0,1997,1
ALG,Amira Kheris,0,0,0,0,1999,2
ALG,Azzedine Lagab,0,0,0,0,1986,2
ALG,Bachir Sid,0,0,0,0,1996,2
ALG,Bilal Tabti,0,0,0,0,1993,1
ALG,Chaima Benadouda,0,0,0,0,2003,2
ALG,Chouaib Bouloudinats,0,0,0,0,1987,1
ALG,Diana Bouzidi,0,0,0,0,1985,2
ALG,Djahid Berrahal,0,0,0,0,1994,1
ALG,Djamel Sedjati,1,0,0,1,1999,1
ALG,Elkrim Ouakali,0,0,0,0,1993,1
ALG,Fadi Rouabah,0,0,0,0,2001,1
ALG,Fateh Benferdjallah,0,0,0,0,2001,2
ALG,Fethi Nourine,0,0,0,0,1991,1
ALG,Hamza Bouras,0,0,0,0,1987,1
ALG,Hamza Mansouri,0,0,0,0,1999,1
ALG,Hichem Bouchicha,0,0,0,0,1989,1
ALG,Houda Chaabi,0,0,0,0,1986,2
ALG,Ibtissem Doudou,0,0,0,0,1999,1
ALG,Ichrak Chaib,0,0,0,0,2001,1
ALG,Imane Khelif,1,1,0,0,1999,2
ALG,Ishak Ghaiou,0,0,0,0,1995,1
ALG,Jaouad Syoud,0,0,0,0,1999,1
ALG,Jugurtha Ait,0,0,0,0,1996,1
ALG,Kamel Ait,0,0,0,0,1985,1
ALG,Kaouther Mohamed,0,0,0,0,2003,2
ALG,Kaylia Nemour,1,1,0,0,2006,6
ALG,Koceila Mammeri,0,0,0,0,1999,1
ALG,Lamya Matoub,0,0,0,0,1992,1
ALG,Larbi Bouriah,0,0,0,0,1983,1
ALG,Loubna Benhadja,0,0,0,0,2001,1
ALG,Lynda Loghraibi,0,0,0,0,1997,1
ALG,Mehdi Bouloussa,0,0,0,0,1995,1
ALG,Mehdi Lili,0,0,0,0,1995,1
ALG,Meriem Mebarki,0,0,0,0,2003,1
ALG,Mohamed Flissi,0,0,0,0,1990,1
ALG,Mohamed Triki,0,0,0,0,1899,1
ALG,Mohammed Fardj,0,0,0,0,1998,1
ALG,Mohammed Houmri,0,0,0,0,1993,1
ALG,Mohammed Triki,0,0,0,0,1997,1
ALG,Mourad Kadi,0,0,0,0,1995,1
ALG,Nadjet Berrichi,0,0,0,0,1995,1
ALG,Nefissa Cherouati,0,0,0,0,1989,1
ALG,Nesrine Houili,0,0,0,0,2003,1
ALG,Nesrine Medjahed,0,0,0,0,1999,1
ALG,Nihed Benchadli,0,0,0,0,2001,1
ALG,Nora Kehli,0,0,0,0,2001,2
ALG,Oussama Khennoussi,0,0,0,0,1999,1
ALG,Oussama Sahnoune,0,0,0,0,1992,2
ALG,Redouane Dris,0,0,0,0,2001,1
ALG,Roumaysa Boualam,0,0,0,0,1994,2
ALG,Salim Heroui,0,0,0,0,1999,2
ALG,Saoussen Boudiaf,0,0,0,0,1993,2
ALG,Slimane Moula,0,0,0,0,1999,1
ALG,Sonia Asselah,0,0,0,0,1991,1
ALG,Violette Mammeri,0,0,0,0,2003,1
ALG,Walid Bidani,0,0,0,0,1994,2
ALG,Yacine Hamza,0,0,0,0,1997,1
ALG,Yassine Hethat,0,0,0,0,1991,1
ALG,Younes Nemouchi,0,0,0,0,1993,1
ALG,Zahra Tatar,0,0,0,0,1992,1
AND,Monica Doria,0,0,0,0,1999,5
AND,Nahuel Carabana,0,0,0,0,1999,1
AND,Pol Moya,0,0,0,0,1996,1
ANG,Albertina Kassoma,0,0,0,0,1996,2
ANG,Andre Matias,0,0,0,0,1989,1
ANG,Aveni Miguel,0,0,0,0,2002,1
ANG,Azenaide Carlos,0,0,0,0,1990,2
ANG,Benilson Sanda,0,0,0,0,2000,2
ANG,Catarina Sousa,0,0,0,0,2000,1
ANG,Chelcia Gabriel,0,0,0,0,2000,1
ANG,Diassonema Mucungui,0,0,0,0,1996,1
ANG,Dolores Rosario,0,0,0,0,2003,1
ANG,Edmilson Pedro,0,0,0,0,1997,1
ANG,Eliane Paulo,0,0,0,0,1999,1
ANG,Filipe Andre,0,0,0,0,1972,1
ANG,Helena Paulo,0,0,0,0,1998,2
ANG,Helena Sousa,0,0,0,0,1949,1
ANG,Henrique Mascarenhas,0,0,0,0,2001,1
ANG,Isabel Guialo,0,0,0,0,1990,1
ANG,Juliana Machado,0,0,0,0,1994,2
ANG,Lia Lima,0,0,0,0,2001,1
ANG,Liliana Venancio,0,0,0,0,1995,1
ANG,Liliane Mario,0,0,0,0,2004,1
ANG,Magda Cazanga,0,0,0,0,1991,1
ANG,Manuel Antonio,0,0,0,0,1988,1
ANG,Manuela Paulo,0,0,0,0,2001,1
ANG,Marcos Santos,0,0,0,0,2004,1
ANG,Marilia Quizelete,0,0,0,0,1997,2
ANG,Marta Alberto,0,0,0,0,1995,1
ANG,Matias Montinho,0,0,0,0,1990,2
ANG,Natalia Fonseca,0,0,0,0,1998,2
ANG,Natalia Santos,0,0,0,0,1985,2
ANG,Paixao Afonso,0,0,0,0,1991,1
ANG,Salvador Gordo,0,0,0,0,2003,1
ANG,Stelvia Pascoal,0,0,0,0,2002,2
ANG,Teresa Almeida,0,0,0,0,1988,2
ANG,Vilma Nenganga,0,0,0,0,1996,1
ANG,Wuta Dombaxi,0,0,0,0,1986,1
ANT,Alston Ryan,0,0,0,0,1993,1
ANT,Cejhae Greene,0,0,0,0,1995,2
ANT,Ellie Shaw,0,0,0,0,2008,1
ANT,Jadon Wuilliez,0,0,0,0,2002,1
ANT,Jalese Gordon,0,0,0,0,2001,1
ANT,Joella Lloyd,0,0,0,0,2002,2
ANT,Samantha Roberts,0,0,0,0,2000,1
ANT,Stefano Mitchell,0,0,0,0,1999,1
ANT,Tiger Tyson,0,0,0,0,1977,1
ARG,Abigail Magistrati,0,0,0,0,2003,5
ARG,Adolfo Gaich,0,0,0,0,1999,1
ARG,Agostina Alonso,2,0,1,1,1995,2
ARG,Agostina Hein,0,0,0,0,2008,2
ARG,Agustin Arregui,0,0,0,0,1858,1
ARG,Agustin Bugallo,0,0,0,0,1995,1
ARG,Agustin Fraga,0,0,0,0,2002,1
ARG,Agustin Loser,1,0,0,1,1997,2
ARG,Agustin Mazzilli,0,0,0,0,1989,1
ARG,Agustin Urzi,0,0,0,0,2000,1
ARG,Agustin Vernice,0,0,0,0,1995,2
ARG,Agustina Albertarrio,2,0,1,1,1993,2
ARG,Agustina Gorzelany,2,0,1,1,1996,2
ARG,Alberto Mourino,0,0,0,0,1984,1
ARG,Alejandro Destribats,0,0,0,0,1997,1
ARG,Alejandro Mazzilli,0,0,0,0,1989,1
ARG,Alejandro Rey,0,0,0,0,1930,1
ARG,Alejandro Tosti,0,0,0,0,1996,1
ARG,Amado Azaad,0,0,0,0,1990,1
ARG,Ana Gallay,0,0,0,0,1986,1
ARG,Andres Molteni,0,0,0,0,1988,2
ARG,Andres Moyano,0,0,0,0,1996,1
ARG,Antonela Fortuna,0,0,0,0,1995,1
ARG,Ariel Simonet,0,0,0,0,1992,1
ARG,Bautista Capurro,0,0,0,0,2003,1
ARG,Belen Casetta,0,0,0,0,1994,2
ARG,Belen Perez,0,0,0,0,1985,1
ARG,Belen Succi,1,0,1,0,1985,1
ARG,Belen Tavella,0,0,0,0,1990,1
ARG,Bianca Farriol,0,0,0,0,2001,1
ARG,Brenda Rojas,0,0,0,0,1995,3
ARG,Bruno Amione,0,0,0,0,2002,1
ARG,Bruno Lima,1,0,0,1,1996,2
ARG,Catalina Turienzo,0,0,0,0,2006,1
ARG,Cecilia Biagioli,0,0,0,0,1985,1
ARG,Cecilia Carranza,0,0,0,0,1986,1
