NOC,Bronze,Silver,Gold,Total_Medals,Years_Before_Medals,No_Medal_Before_Medals,Logistic
AFG,0,0,0,0,25,108,0
AFG,1,0,0,1,26,113,1
AHO,0,0,0,0,20,31,0
AHO,0,1,0,1,21,44,1
ALB,0,0,0,0,29,63,0
ALB,2,0,0,2,30,73,1
BAR,0,0,0,0,23,123,0
BAR,1,0,0,1,24,145,1
BDI,0,0,0,0,22,0,0
BDI,0,0,1,1,23,0,1
BER,0,0,0,0,17,71,0
BER,1,0,0,1,18,80,1
BUR,0,0,0,0,28,39,0
BUR,1,0,0,1,29,44,1
CPV,0,0,0,0,29,18,0
CPV,1,0,0,1,30,24,1
CRC,0,0,0,0,20,81,0
CRC,0,1,0,1,21,113,1
CYP,0,0,0,0,26,126,0
CYP,0,1,0,1,27,144,1
DJI,0,0,0,0,20,0,0
DJI,1,0,0,1,21,3,1
DMA,0,0,0,0,29,18,0
DMA,0,0,1,1,30,20,1
EOR,0,0,0,0,29,0,0
EOR,1,0,0,1,30,35,1
ERI,0,0,0,0,24,0,0
ERI,1,0,0,1,25,3,1
GAB,0,0,0,0,26,32,0
GAB,0,1,0,1,27,36,1
GUA,0,0,0,0,26,348,0
GUA,0,1,0,1,27,361,1
GUY,0,0,0,0,18,31,0
GUY,1,0,0,1,19,31,1
IRQ,0,0,0,0,13,13,0
IRQ,1,0,0,1,14,13,1
ISV,0,0,0,0,20,48,0
ISV,0,1,0,1,21,100,1
JOR,0,0,0,0,27,63,0
JOR,0,0,1,1,28,72,1
KUW,0,0,0,0,23,196,0
KUW,1,0,0,1,24,223,1
LCA,0,0,0,0,29,28,0
LCA,0,1,1,2,30,33,1
LIB,0,0,0,0,11,0,0
LIB,1,1,0,2,12,9,1
MKD,0,0,0,0,23,0,0
MKD,1,0,0,1,24,16,1
MON,0,0,0,0,6,0,0
MON,1,0,0,1,7,7,1
MOZ,0,0,0,0,22,42,0
MOZ,1,0,0,1,23,49,1
MRI,0,0,0,0,25,102,0
MRI,1,0,0,1,26,111,1
NIG,0,0,0,0,16,1,0
NIG,1,0,0,1,17,3,1
PAN,0,0,0,0,10,2,0
PAN,2,0,0,2,11,2,1
SEN,0,0,0,0,20,150,0
SEN,0,1,0,1,21,179,1
SMR,0,0,0,0,28,140,0
SMR,2,2,0,4,29,144,1
SRI,0,0,0,0,10,0,0
SRI,0,1,0,1,11,0,1
SUD,0,0,0,0,25,82,0
SUD,0,1,0,1,26,86,1
SUR,0,0,0,0,20,8,0
SUR,0,0,1,1,21,15,1
SYR,0,0,0,0,19,8,0
SYR,0,1,0,1,20,79,1
TAN,0,0,0,0,18,31,0
TAN,0,2,0,2,19,31,1
TGA,0,0,0,0,22,14,0
TGA,0,1,0,1,23,19,1
TKM,0,0,0,0,28,45,0
TKM,0,1,0,1,29,54,1
TOG,0,0,0,0,25,38,0
TOG,1,0,0,1,26,41,1
UAE,0,0,0,0,24,87,0
UAE,0,0,1,1,25,92,1
UAR,0,0,0,0,13,0,0
UAR,1,1,0,2,14,0,1
VIE,0,0,0,0,23,60,0
VIE,0,1,0,1,24,66,1
ZAM,0,0,0,0,19,34,0
ZAM,1,0,0,1,20,77,1
