NOC,Bronze,Silver,Gold,Total_Medals,Years_Before_Medals,No_Medal_Before_Medals,Logistic,Hans
AFG,0,0,0,0,24,108,0,∑Ò
AFG,0,0,0,0,25,108,0,∑Ò
AFG,1,0,0,1,26,113,1, «
AHO,0,0,0,0,19,31,0,∑Ò
AHO,0,0,0,0,20,31,0,∑Ò
AHO,0,1,0,1,21,44,1, «
ALB,0,0,0,0,28,57,0,∑Ò
ALB,0,0,0,0,29,63,0,∑Ò
ALB,2,0,0,2,30,73,1, «
BAR,0,0,0,0,22,101,0,∑Ò
BAR,0,0,0,0,23,123,0,∑Ò
BAR,1,0,0,1,24,145,1, «
BDI,0,0,0,0,21,0,0,∑Ò
BDI,0,0,0,0,22,0,0,∑Ò
BDI,0,0,1,1,23,0,1, «
BER,0,0,0,0,16,65,0,∑Ò
BER,0,0,0,0,17,71,0,∑Ò
BER,1,0,0,1,18,80,1, «
BUR,0,0,0,0,27,34,0,∑Ò
BUR,0,0,0,0,28,39,0,∑Ò
BUR,1,0,0,1,29,44,1, «
CPV,0,0,0,0,28,13,0,∑Ò
CPV,0,0,0,0,29,18,0,∑Ò
CPV,1,0,0,1,30,24,1, «
CYP,0,0,0,0,25,105,0,∑Ò
CYP,0,0,0,0,26,126,0,∑Ò
CYP,0,1,0,1,27,144,1, «
DJI,0,0,0,0,19,0,0,∑Ò
DJI,0,0,0,0,20,0,0,∑Ò
DJI,1,0,0,1,21,3,1, «
DMA,0,0,0,0,28,16,0,∑Ò
DMA,0,0,0,0,29,18,0,∑Ò
DMA,0,0,1,1,30,20,1, «
EOR,0,0,0,0,28,0,0,∑Ò
EOR,0,0,0,0,29,0,0,∑Ò
EOR,1,0,0,1,30,35,1, «
ERI,0,0,0,0,23,0,0,∑Ò
ERI,0,0,0,0,24,0,0,∑Ò
ERI,1,0,0,1,25,3,1, «
GAB,0,0,0,0,25,27,0,∑Ò
GAB,0,0,0,0,26,32,0,∑Ò
GAB,0,1,0,1,27,36,1, «
GUA,0,0,0,0,25,329,0,∑Ò
GUA,0,0,0,0,26,348,0,∑Ò
GUA,0,1,0,1,27,361,1, «
GUY,0,0,0,0,17,27,0,∑Ò
GUY,0,0,0,0,18,31,0,∑Ò
GUY,1,0,0,1,19,31,1, «
IRQ,0,0,0,0,12,13,0,∑Ò
IRQ,0,0,0,0,13,13,0,∑Ò
IRQ,1,0,0,1,14,13,1, «
ISV,0,0,0,0,19,48,0,∑Ò
ISV,0,0,0,0,20,48,0,∑Ò
ISV,0,1,0,1,21,100,1, «
KUW,0,0,0,0,22,159,0,∑Ò
KUW,0,0,0,0,23,196,0,∑Ò
KUW,1,0,0,1,24,223,1, «
LCA,0,0,0,0,28,23,0,∑Ò
LCA,0,0,0,0,29,28,0,∑Ò
LCA,0,1,1,2,30,33,1, «
MKD,0,0,0,0,22,0,0,∑Ò
MKD,0,0,0,0,23,0,0,∑Ò
MKD,1,0,0,1,24,16,1, «
MON,0,0,0,0,5,0,0,∑Ò
MON,0,0,0,0,6,0,0,∑Ò
MON,1,0,0,1,7,7,1, «
MOZ,0,0,0,0,21,30,0,∑Ò
MOZ,0,0,0,0,22,42,0,∑Ò
MOZ,1,0,0,1,23,49,1, «
MRI,0,0,0,0,24,76,0,∑Ò
MRI,0,0,0,0,25,102,0,∑Ò
MRI,1,0,0,1,26,111,1, «
NIG,0,0,0,0,15,0,0,∑Ò
NIG,0,0,0,0,16,1,0,∑Ò
NIG,1,0,0,1,17,3,1, «
SEN,0,0,0,0,19,111,0,∑Ò
SEN,0,0,0,0,20,150,0,∑Ò
SEN,0,1,0,1,21,179,1, «
SRI,0,0,0,0,9,0,0,∑Ò
SRI,0,0,0,0,10,0,0,∑Ò
SRI,0,1,0,1,11,0,1, «
SUD,0,0,0,0,24,79,0,∑Ò
SUD,0,0,0,0,25,82,0,∑Ò
SUD,0,1,0,1,26,86,1, «
SUR,0,0,0,0,19,8,0,∑Ò
SUR,0,0,0,0,20,8,0,∑Ò
SUR,0,0,1,1,21,15,1, «
TAN,0,0,0,0,17,9,0,∑Ò
TAN,0,0,0,0,18,31,0,∑Ò
TAN,0,2,0,2,19,31,1, «
TGA,0,0,0,0,21,7,0,∑Ò
TGA,0,0,0,0,22,14,0,∑Ò
TGA,0,1,0,1,23,19,1, «
TKM,0,0,0,0,27,35,0,∑Ò
TKM,0,0,0,0,28,45,0,∑Ò
TKM,0,1,0,1,29,54,1, «
TOG,0,0,0,0,24,35,0,∑Ò
TOG,0,0,0,0,25,38,0,∑Ò
TOG,1,0,0,1,26,41,1, «
UAE,0,0,0,0,23,83,0,∑Ò
UAE,0,0,0,0,24,87,0,∑Ò
UAE,0,0,1,1,25,92,1, «
UAR,0,0,0,0,12,0,0,∑Ò
UAR,0,0,0,0,13,0,0,∑Ò
UAR,1,1,0,2,14,0,1, «
ZAM,0,0,0,0,18,34,0,∑Ò
ZAM,0,0,0,0,19,34,0,∑Ò
ZAM,1,0,0,1,20,77,1, «
