NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,No_Medals,Total_Medals,Country_Event_Participation,Event_Total_Participation,Parti_to_Gold,Parti_to_Silver,Parti_to_Bronze,Parti_to_Medal,Participate_Rate,Weight
AFG,Athletics,0,0,0,26,0,26,43294,0,0,0,0,0.000600545,0
AFG,Boxing,0,0,0,5,0,5,6584,0,0,0,0,0.000759417,0
AFG,Cycling Road,0,0,0,3,0,3,493,0,0,0,0,0.006085193,0
AFG,Football,0,0,0,11,0,11,7906,0,0,0,0,0.001391348,0
AFG,Hockey,0,0,0,39,0,39,6264,0,0,0,0,0.006226054,0
AFG,Judo,0,0,0,4,0,4,4876,0,0,0,0,0.000820345,0
AFG,Shooting,0,0,0,1,0,1,12580,0,0,0,0,7.95E-05,0
AFG,Swimming,0,0,0,2,0,2,26416,0,0,0,0,7.57E-05,0
AFG,Taekwondo,0,0,2,3,2,5,870,0,0,0.4,0.4,0.005747126,22
AFG,Wrestling,0,0,0,42,0,42,7734,0,0,0,0,0.005430566,0
AHO,Athletics,0,0,0,14,0,14,43294,0,0,0,0,0.00032337,0
AHO,Equestrianism,0,0,0,2,0,2,6344,0,0,0,0,0.000315259,0
AHO,Fencing,0,0,0,4,0,4,11558,0,0,0,0,0.000346081,0
AHO,Football,0,0,0,11,0,11,7906,0,0,0,0,0.001391348,0
AHO,Judo,0,0,0,3,0,3,4876,0,0,0,0,0.000615258,0
AHO,Sailing,0,1,0,5,1,6,7266,0,0.166666667,0,0.166666667,0.000825764,11100
AHO,Shooting,0,0,0,7,0,7,12580,0,0,0,0,0.000556439,0
AHO,Swimming,0,0,0,11,0,11,26416,0,0,0,0,0.000416414,0
AHO,Synchronized Swimming,0,0,0,4,0,4,909,0,0,0,0,0.00440044,0
AHO,Triathlon,0,0,0,1,0,1,822,0,0,0,0,0.001216545,0
AHO,Weightlifting,0,0,0,11,0,11,4256,0,0,0,0,0.002584586,0
AIN,Canoe Sprint,0,0,0,6,0,6,756,0,0,0,0,0.007936508,0
AIN,Cycling Road,0,0,0,7,0,7,493,0,0,0,0,0.014198783,0
AIN,Rowing,0,1,0,1,1,2,11625,0,0.5,0,0.5,0.000172043,11100
AIN,Shooting,0,0,0,2,0,2,12580,0,0,0,0,0.000158983,0
AIN,Swimming,0,0,0,7,0,7,26416,0,0,0,0,0.000264991,0
AIN,Taekwondo,0,0,0,1,0,1,870,0,0,0,0,0.001149425,0
AIN,Tennis,0,2,0,12,2,14,3446,0,0.142857143,0,0.142857143,0.004062681,22200
AIN,Trampoline Gymnastics,1,1,0,1,2,3,64,0.333333333,0.333333333,0,0.666666667,0.046875,1111111100
AIN,Weightlifting,0,0,1,1,1,2,4256,0,0,0.5,0.5,0.000469925,11
AIN,Wrestling,0,0,0,2,0,2,7734,0,0,0,0,0.000258598,0
ALB,Artistic Gymnastics,0,0,0,1,0,1,2297,0,0,0,0,0.00043535,0
ALB,Athletics,0,0,0,16,0,16,43294,0,0,0,0,0.000369566,0
ALB,Cycling,0,0,0,1,0,1,10859,0,0,0,0,9.21E-05,0
ALB,Judo,0,0,0,3,0,3,4876,0,0,0,0,0.000615258,0
ALB,Shooting,0,0,0,20,0,20,12580,0,0,0,0,0.001589825,0
ALB,Swimming,0,0,0,15,0,15,26416,0,0,0,0,0.000567838,0
ALB,Weightlifting,0,0,0,19,0,19,4256,0,0,0,0,0.004464286,0
ALB,Wrestling,0,0,2,5,2,7,7734,0,0,0.285714286,0.285714286,0.000905094,22
ALG,Artistic Gymnastics,1,0,0,5,1,6,2297,0.166666667,0,0,0.166666667,0.002612103,1111100000
ALG,Athletics,4,3,3,142,10,152,43294,0.026315789,0.019736842,0.019736842,0.065789474,0.003510879,4444433333
ALG,Badminton,0,0,0,3,0,3,1816,0,0,0,0,0.001651982,0
ALG,Boxing,2,0,5,75,7,82,6584,0.024390244,0,0.06097561,0.085365854,0.012454435,2222200055
ALG,Canoe Slalom,0,0,0,2,0,2,256,0,0,0,0,0.0078125,0
ALG,Canoe Sprint,0,0,0,2,0,2,756,0,0,0,0,0.002645503,0
ALG,Cycling,0,0,0,6,0,6,10859,0,0,0,0,0.000552537,0
