NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals,Participation_Count,TOPSIS_Score_Sum,Host,Sport_topsis_score,,
AFG,Athletics,0,0,0,0,2,0,0,0.043927631,,
AFG,Shooting,0,0,0,0,1,0,0,3.48E-05,,
AFG,Swimming,0,0,0,0,1,0,0,0.001819792,,
AFG,Taekwondo,0,0,0,0,1,0,0,0.936511285,,
AHO,Athletics,0,0,0,0,3,0.002248224,0,0.020672285,,
AHO,Shooting,0,0,0,0,1,0,0,0.010292959,           ,                                                                                                                 
ALB,Artistic Gymnastics,0,0,0,0,1,0,0,0.00849079,,
ALB,Athletics,0,0,0,0,4,0.002250696,0,0.03229282,,
ALB,Judo,0,0,0,0,2,0,0,0.013579088,,
ALB,Shooting,0,0,0,0,2,0.001125348,0,0.052938235,,
ALB,Swimming,0,0,0,0,3,0.001125348,0,0.03167941,,
ALB,Weightlifting,0,0,0,0,5,0.003373572,0,0.1044087,,
ALG,Athletics,0,0,0,0,7,0.002250696,0,0.610245783,,
ALG,Boxing,0,0,0,0,15,0.007865081,0,0.457064907,,
ALG,Canoe Sprint,0,0,0,0,2,0.001125348,0,0.003831889,,
ALG,Cycling Road,0,0,0,0,3,0.001125348,0,0.016826317,,
ALG,Fencing,0,0,0,0,4,0,0,0.017970243,,
ALG,Judo,0,0,0,0,4,0.002248224,0,0.31150285,,
ALG,Karate,0,0,0,0,1,0,0,0.020409372,,
ALG,Marathon Swimming,0,0,0,0,1,0,0,0.018536375,,
ALG,Rowing,0,0,0,0,2,0,0,0.007289997,,
ALG,Sailing,0,0,0,0,3,0.001125348,0,0.002838911,,
ALG,Shooting,0,0,0,0,1,0,0,0.002772621,,
ALG,Swimming,0,0,0,0,6,0.004493981,0,0.023474399,,
ALG,Table Tennis,0,0,0,0,1,0,0,0.010591497,,
ALG,Weightlifting,0,0,0,0,3,0.002248224,0,0.013425876,,
ALG,Wrestling,0,0,0,0,9,0.001125348,0,0.019823481,,
AND,Athletics,0,0,0,0,1,0,0,0.094743629,,
AND,Canoe Slalom,0,0,0,0,2,0.001125348,0,0.931423193,,
ANG,Athletics,0,0,0,0,1,0,0,0.14538821,,
ANG,Handball,0,0,0,0,26,0.013489349,0,1,,
ANG,Judo,0,0,0,0,1,0,0,0.122212275,,
ANG,Sailing,0,0,0,0,3,0.001125348,0,0.062527862,,
ANG,Swimming,0,0,0,0,6,0.003368633,0,0.224899813,,
ANT,Athletics,0,0,0,0,4,0.002248224,0,1,,
ANT,Boxing,0,0,0,0,1,0,0,0.007038059,,
ANT,Sailing,0,0,0,0,1,0,0,0.127282115,,
ANT,Swimming,0,0,0,0,3,0.001125348,0,0.070935187,,
ARG,Artistic Gymnastics,0,0,0,0,5,0.004486578,0,0.001243857,,
ARG,Athletics,0,0,0,0,5,0,0,0.069094627,,
ARG,Basketball,0,0,0,0,15,0.003373572,0,0.209267799,,
ARG,Beach Volleyball,0,0,0,0,6,0.002248224,0,0.013026125,,
ARG,Boxing,0,0,0,0,6,0,0,0.191192585,,
ARG,Canoe Slalom,0,0,0,0,1,0,0,0.001817106,,
ARG,Canoe Sprint,0,0,0,0,4,0.001125348,0,0.004144335,,
ARG,Cycling BMX Racing,0,0,0,0,1,0,0,0.013707599,,
ARG,Cycling Mountain Bike,0,0,0,0,1,0,0,0.003460991,,
ARG,Cycling Road,0,0,0,0,1,0,0,0.001911387,,
ARG,Equestrian,0,0,0,0,8,0.004501392,0,0.005798719,,
ARG,Equestrianism,0,0,0,0,2,0.001125348,0,0.038712996,,
ARG,Fencing,0,0,0,0,1,0,0,0.067696797,,
ARG,Football,0,0,0,0,22,0,0,0.504033218,,
ARG,Golf,0,0,0,0,1,0,0,0.005325472,,
ARG,Handball,0,0,0,0,19,0.003373572,0,0.018276435,,
ARG,Hockey,1,19,0,20,41,1.709852166,0,0.607774917,,
ARG,Judo,1,0,1,2,8,0.123613999,0,0.027483104,,
ARG,Marathon Swimming,0,0,0,0,1,0,0,0.005774228,,
ARG,Modern Pentathlon,0,0,0,0,1,0,0,0.007001626,,
ARG,Rowing,0,0,0,0,4,0.002248224,0,0.058445889,,
ARG,Rugby Sevens,0,0,13,13,14,1.03976283,0,0.285475311,,
ARG,Sailing,0,0,0,0,13,0.002250696,0,0.191926988,,
ARG,Shooting,0,0,0,0,10,0.006747144,0,0.033491752,,
ARG,Surfing,0,0,0,0,1,0,0,0.005842894,,
ARG,Swimming,0,0,0,0,8,0.00449892,0,0.059471901,,
ARG,Table Tennis,0,0,0,0,2,0,0,0.0048923,,
ARG,Taekwondo,0,0,0,0,1,0,0,0.050093026,,
ARG,Tennis,0,0,0,0,11,0.004501392,0,0.077873083,,
ARG,Triathlon,0,0,0,0,1,0,0,0.005196214,,
ARG,Volleyball,0,0,12,12,30,0.959852236,0,0.238162493,,
ARG,Wrestling,0,0,0,0,1,0,0,0.015435566,,
ARM,Artistic Gymnastics,0,0,1,1,2,0.079989894,0,0.315433454,,
ARM,Athletics,0,0,0,0,2,0.001125348,0,0.024520182,,
ARM,Boxing,0,0,1,1,4,0.079989894,0,0.147611313,,
ARM,Judo,0,0,0,0,1,0,0,0.019648878,,
ARM,Shooting,0,0,0,0,1,0,0,0.014918425,,
ARM,Swimming,0,0,0,0,3,0.001125348,0,0.015922465,,
ARM,Weightlifting,0,2,0,2,3,0.164831348,0,0.362679151,,
ARM,Wrestling,1,1,1,3,8,0.15954354,0,0.820992235,,
ARU,Swimming,0,0,0,0,5,0.003373572,0,0.247397105,,
ASA,Athletics,0,0,0,0,1,0,0,0.448214099,,
ASA,Sailing,0,0,0,0,2,0,0,0.209028666,,
ASA,Swimming,0,0,0,0,2,0,0,0.269569569,,
ASA,Weightlifting,0,0,0,0,1,0,0,0.769668158,,
AUS,Archery,0,0,2,2,17,0.165821,0,0.025802165,,
AUS,Artistic Gymnastics,0,0,0,0,12,0.010098504,0,0.007616028,,
AUS,Artistic Swimming,0,0,0,0,10,0.002250696,0,0.015575974,,
AUS,Athletics,0,1,2,3,95,0.280954183,0,0.212830794,,
AUS,Badminton,0,0,0,0,5,0.001125348,0,0.010403949,,
AUS,Baseball,0,1,0,1,1,0.086140832,0,0.202051029,,
AUS,Baseball/Softball,0,0,0,0,15,0,0,0.012186373,,
