NOC,Bronze,Silver,Gold,Total_Medals,Years_Before_Medals,No_Medal_Before_Medals,Ô¤²â½á¹û_Y,Ô¤²â½á¹û¸ÅÂÊ_·ñ,Ô¤²â½á¹û¸ÅÂÊ_ÊÇ
AND,0,0,0,0,13,60,·ñ,0.761689877,0.238310123
ANG,0,0,0,0,12,313,ÊÇ,0.314013947,0.685986053
ANT,0,0,0,0,13,144,ÊÇ,0.265002233,0.734997767
ARU,0,0,0,0,10,53,·ñ,0.788139758,0.211860242
ASA,0,0,0,0,10,43,·ñ,0.79094549,0.20905451
BAN,0,0,0,0,11,68,·ñ,0.775871338,0.224128662
BEN,0,0,0,0,14,83,·ñ,0.745826543,0.254173457
BHU,0,0,0,0,11,43,·ñ,0.783126491,0.216873509
BIH,0,0,0,0,9,87,·ñ,0.786338151,0.213661849
BIZ,0,0,0,0,15,81,·ñ,0.737535645,0.262464355
BOL,0,0,0,0,21,130,ÊÇ,0.338376778,0.661623222
BRU,0,0,0,0,8,15,·ñ,0.813242946,0.186757054
CAF,0,0,0,0,15,73,·ñ,0.740142141,0.259857859
CAM,0,0,0,0,18,69,·ñ,0.713715719,0.286284281
CAY,0,0,0,0,13,94,·ñ,0.751112834,0.248887166
CGO,0,0,0,0,16,112,·ñ,0.71792666,0.28207334
CHA,0,0,0,0,16,47,·ñ,0.739612492,0.260387508
COD,0,0,0,0,15,106,·ñ,0.729282557,0.270717443
COK,0,0,0,0,10,51,·ñ,0.788703099,0.211296901
COM,0,0,0,0,8,27,·ñ,0.810145951,0.189854049
CRT,0,0,0,0,28,11,·ñ,0.632950178,0.367049822
ESA,0,0,0,0,22,234,ÊÇ,0.38977123,0.61022877
FSM,0,0,0,0,7,32,·ñ,0.815953687,0.184046313
GAM,0,0,0,0,11,69,·ñ,0.775577573,0.224422427
GBS,0,0,0,0,8,31,·ñ,0.80910492,0.19089508
GEQ,0,0,0,0,11,46,·ñ,0.782264915,0.217735085
GUI,0,0,0,0,15,103,·ñ,0.730281498,0.269718502
GUM,0,0,0,0,10,125,·ñ,0.7671296,0.2328704
HON,0,0,0,0,15,218,ÊÇ,0.309625851,0.690374149
IVB,0,0,0,0,11,49,·ñ,0.781400871,0.218599129
KIR,0,0,0,0,6,17,·ñ,0.826518645,0.173481355
LAO,0,0,0,0,12,62,·ñ,0.769456279,0.230543721
LBA,0,0,0,0,15,94,·ñ,0.733264335,0.266735665
LBN,0,0,0,0,2,17,·ñ,0.851671138,0.148328862
LBR,0,0,0,0,18,88,·ñ,0.707115804,0.292884196
LES,0,0,0,0,14,71,·ñ,0.749648521,0.250351479
LIE,0,0,0,0,21,103,ÊÇ,0.328246449,0.671753551
MAD,0,0,0,0,16,130,ÊÇ,0.288268873,0.711731127
MAL,0,0,0,0,18,45,·ñ,0.721923797,0.278076203
MAW,0,0,0,0,14,95,·ñ,0.741966301,0.258033699
MDV,0,0,0,0,10,58,·ñ,0.786726604,0.213273396
MHL,0,0,0,0,5,20,·ñ,0.8324011,0.1675989
MLI,0,0,0,0,16,120,ÊÇ,0.284816919,0.715183081
MLT,0,0,0,0,23,129,ÊÇ,0.359181911,0.640818089
MTN,0,0,0,0,11,33,·ñ,0.785980586,0.214019414
MYA,0,0,0,0,20,115,ÊÇ,0.322453681,0.677546319
NBO,0,0,0,0,18,2,·ñ,0.736262351,0.263737649
NCA,0,0,0,0,15,144,ÊÇ,0.283570095,0.716429905
NEP,0,0,0,0,16,100,·ñ,0.722011796,0.277988204
NFL,0,0,0,0,29,1,·ñ,0.626007231,0.373992769
NRU,0,0,0,0,8,16,·ñ,0.812986356,0.187013644
OMA,0,0,0,0,11,75,·ñ,0.773809237,0.226190763
PLE,0,0,0,0,8,34,·ñ,0.808321288,0.191678712
PLW,0,0,0,0,7,31,·ñ,0.816207125,0.183792875
PNG,0,0,0,0,13,123,·ñ,0.741846612,0.258153388
RHO,0,0,0,0,17,12,·ñ,0.74200204,0.25799796
ROT,0,0,0,0,3,12,·ñ,0.846778849,0.153221151
RWA,0,0,0,0,11,69,·ñ,0.775577573,0.224422427
SAA,0,0,0,0,19,93,·ñ,0.695576332,0.304423668
SAM,0,0,0,0,11,100,·ñ,0.766335392,0.233664608
SEY,0,0,0,0,12,120,·ñ,0.751626946,0.248373054
SKN,0,0,0,0,8,47,·ñ,0.804897204,0.195102796
SLE,0,0,0,0,15,122,ÊÇ,0.276084245,0.723915755
SOL,0,0,0,0,11,32,·ñ,0.786264487,0.213735513
SOM,0,0,0,0,14,35,·ñ,0.7608829,0.2391171
SSD,0,0,0,0,3,19,·ñ,0.845239004,0.154760996
STP,0,0,0,0,8,23,·ñ,0.81118263,0.18881737
SWZ,0,0,0,0,14,71,·ñ,0.749648521,0.250351479
TLS,0,0,0,0,6,15,·ñ,0.827002336,0.172997664
TUV,0,0,0,0,5,11,·ñ,0.834510511,0.165489489
UNK,0,0,0,0,26,2,·ñ,0.657776037,0.342223963
VAN,0,0,0,0,10,44,·ñ,0.790666151,0.209333849
VIN,0,0,0,0,10,49,·ñ,0.789265343,0.210734657
VNM,0,0,0,0,19,62,·ñ,0.70654553,0.29345447
YAR,0,0,0,0,11,11,·ñ,0.792163032,0.207836968
YEM,0,0,0,0,9,42,·ñ,0.798826592,0.201173408
YMD,0,0,0,0,10,5,·ñ,0.801357202,0.198642798
