Name,NOC,Sport,Bronze_Medals,Gold_Medals,No Medals,Silve_Medals,Tota_Medals,Participation Count,Cutoff Year,TOPSIS Score,TOPSIS Rank,Birth_Year,Age_in_2028
Kimia Yousofi,AFG,Athletics,0,0,1,0,0,1,2020,0,22629,1996,32
Mahmood Noor,AFG,Athletics,0,0,1,0,0,1,2020,0,22629,1991,37
Yulduz Hashimi,AFG,Cycling Road,0,0,2,0,0,2,2024,0.001165157,11953,2000,28
Fariba Hashimi,AFG,Cycling Road,0,0,1,0,0,1,2024,0,22629,2003,25
Samim Faizad,AFG,Judo,0,0,1,0,0,1,2024,0,22629,2002,26
Fahim Anwari,AFG,Swimming,0,0,1,0,0,1,2020,0,22629,1999,29
Zakhar Petrov,AIN,Canoe Sprint,0,0,2,0,0,2,2024,0.001165157,11953,2004,24
Alexey Korovashkov,AIN,Canoe Sprint,0,0,1,0,0,1,2024,0,22629,1992,36
Uladzislau Kravets,AIN,Canoe Sprint,0,0,1,0,0,1,2024,0,22629,1999,29
Yuliya Trushkina,AIN,Canoe Sprint,0,0,1,0,0,1,2024,0,22629,2002,26
Gleb Syritsa,AIN,Cycling Road,0,0,2,0,0,2,2024,0.001165157,11953,2000,28
Hanna Tserakh,AIN,Cycling Road,0,0,2,0,0,2,2024,0.001165157,11953,1998,30
Alena Ivanchenko,AIN,Cycling Road,0,0,1,0,0,1,2024,0,22629,2003,25
Yauheni Zalaty,AIN,Rowing,0,0,0,1,1,1,2024,0.086108042,2712,1999,29
Evgenii Somov,AIN,Swimming,0,0,2,0,0,2,2024,0.001165157,11953,1999,29
Georgiy Gurtsiev,AIN,Taekwondo,0,0,1,0,0,1,2024,0,22629,2000,28
Mirra Andreeva,AIN,Tennis,0,0,2,1,1,3,2024,0.086139666,1640,2007,21
Diana Shnaider,AIN,Tennis,0,0,1,1,1,2,2024,0.08611725,1957,2004,24
Ekaterina Alexandrova,AIN,Tennis,0,0,2,0,0,2,2024,0.001165157,11953,1994,34
Roman Safiullin,AIN,Tennis,0,0,2,0,0,2,2024,0.001165157,11953,1997,31
Pavel Kotov,AIN,Tennis,0,0,1,0,0,1,2024,0,22629,1998,30
Viyaleta Bardzilouskaya,AIN,Trampoline Gymnastics,0,0,0,1,1,1,2024,0.086108042,2712,2005,23
Anzhela Bladtceva,AIN,Trampoline Gymnastics,0,0,1,0,0,1,2024,0,22629,2005,23
Siuzanna Valodzka,AIN,Weightlifting,0,0,1,0,0,1,2024,0,22629,2000,28
Abubakar Khaslakhanau,AIN,Wrestling,0,0,1,0,0,1,2024,0,22629,2004,24
Izmir Smajlaj,ALB,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1993,35
Luiza Gega,ALB,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1988,40
Nikol Merizaj,ALB,Swimming,0,0,2,0,0,2,2020,0.001165157,11953,1998,30
Kaltra Meca,ALB,Swimming,0,0,1,0,0,1,2024,0,22629,2008,20
Chermen Valiev,ALB,Wrestling,1,0,0,0,1,1,2024,0.079861291,6185,1998,30
Islam Dudaev,ALB,Wrestling,1,0,0,0,1,1,2024,0.079861291,6185,1995,33
Zelimkhan Abakarov,ALB,Wrestling,0,0,1,0,0,1,2024,0,22629,1993,35
Kaylia Nemour,ALG,Artistic Gymnastics,0,1,5,0,1,6,2024,0.080808078,3261,2006,22
Djamel Sedjati,ALG,Athletics,1,0,0,0,1,1,2024,0.079861291,6185,1999,29
Abdelmalik Lahoulou,ALG,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1992,36
Yassine Hethat,ALG,Athletics,0,0,2,0,0,2,2020,0.001165157,11953,1991,37
Ali Gouaned,ALG,Athletics,0,0,1,0,0,1,2024,0,22629,2002,26
Bilal Tabti,ALG,Athletics,0,0,1,0,0,1,2020,0,22629,1993,35
Amine Bouanani,ALG,Athletics,0,0,1,0,0,1,2024,0,22629,1997,31
Loubna Benhadja,ALG,Athletics,0,0,1,0,0,1,2020,0,22629,2001,27
Hichem Bouchicha,ALG,Athletics,0,0,1,0,0,1,2020,0,22629,1989,39
Koceila Mammeri,ALG,Badminton,0,0,1,0,0,1,2024,0,22629,1999,29
Violette Mammeri,ALG,Badminton,0,0,1,0,0,1,2024,0,22629,2003,25
Mohamed Flissi,ALG,Boxing,0,0,3,0,0,3,2020,0.002327667,8721,1990,38
Ichrak Chaib,ALG,Boxing,0,0,1,0,0,1,2020,0,22629,2001,27
Imane Khelif,ALG,Boxing,0,0,1,0,0,1,2020,0,22629,1999,29
Jugurtha Ait,ALG,Boxing,0,0,1,0,0,1,2024,0,22629,1996,32
Mohammed Houmri,ALG,Boxing,0,0,1,0,0,1,2020,0,22629,1993,35
Hamza Mansouri,ALG,Cycling Road,0,0,1,0,0,1,2020,0,22629,1999,29
Nesrine Houili,ALG,Cycling Road,0,0,1,0,0,1,2024,0,22629,2003,25
Chaima Benadouda,ALG,Fencing,0,0,2,0,0,2,2024,0.001165157,11953,2003,25
Nora Kehli,ALG,Fencing,0,0,2,0,0,2,2024,0.001165157,11953,2001,27
Akram Bounabi,ALG,Fencing,0,0,1,0,0,1,2020,0,22629,1999,29
Kaouther Mohamed,ALG,Fencing,0,0,1,0,0,1,2020,0,22629,2003,25
Meriem Mebarki,ALG,Fencing,0,0,1,0,0,1,2020,0,22629,2003,25
Sonia Asselah,ALG,Judo,0,0,3,0,0,3,2020,0.002327667,8721,1991,37
Amina Belkadi,ALG,Judo,0,0,1,0,0,1,2024,0,22629,1992,36
Fethi Nourine,ALG,Judo,0,0,1,0,0,1,2020,0,22629,1991,37
Ali Boudina,ALG,Rowing,0,0,1,0,0,1,2020,0,22629,1990,38
Nihed Benchadli,ALG,Rowing,0,0,1,0,0,1,2024,0,22629,2001,27
Nadjet Berrichi,ALG,Sailing,0,0,1,0,0,1,2020,0,22629,1995,33
Oussama Sahnoune,ALG,Swimming,0,0,4,0,0,4,2020,0.003487533,7794,1992,36
Amel Melih,ALG,Swimming,0,0,2,0,0,2,2020,0.001165157,11953,1993,35
Lynda Loghraibi,ALG,Table Tennis,0,0,1,0,0,1,2024,0,22629,1997,31
Mehdi Bouloussa,ALG,Table Tennis,0,0,1,0,0,1,2024,0,22629,1995,33
Walid Bidani,ALG,Weightlifting,0,0,3,0,0,3,2020,0.002327667,8721,1994,34
Adem Boudjemline,ALG,Wrestling,0,0,2,0,0,2,2020,0.001165157,11953,1994,34
Abdelkarim Fergat,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629,1994,34
Abdelmalek Merabet,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629,2000,28
Bachir Sid,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629,1996,32
Djahid Berrahal,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629,1994,34
Elkrim Ouakali,ALG,Wrestling,0,0,1,0,0,1,2024,0,22629,1993,35
Fadi Rouabah,ALG,Wrestling,0,0,1,0,0,1,2024,0,22629,2001,27
Fateh Benferdjallah,ALG,Wrestling,0,0,1,0,0,1,2020,0,22629,2001,27
Nahuel Carabana,AND,Athletics,0,0,1,0,0,1,2024,0,22629,1999,29
Monica Doria,AND,Canoe Slalom,0,0,2,0,0,2,2020,0.001165157,11953,1999,29
Aveni Miguel,ANG,Athletics,0,0,1,0,0,1,2020,0,22629,2002,26
Benilson Sanda,ANG,Canoe Sprint,0,0,2,0,0,2,2024,0.001165157,11953,2000,28
Azenaide Carlos,ANG,Handball,0,0,4,0,0,4,2020,0.003487533,7794,1990,38
