NOC,Year,Bronze,Gold,No medal,Silver,Total_Medals,More_Than_3_Medals,check1,check2
AFG,1896,0,0,0,0,0,0,1,0
AFG,1900,0,0,0,0,0,0,1,0
AFG,1904,0,0,0,0,0,0,1,0
AFG,1906,0,0,0,0,0,0,1,0
AFG,1908,0,0,0,0,0,0,1,0
AFG,1912,0,0,0,0,0,0,1,0
AFG,1920,0,0,0,0,0,0,1,0
AFG,1924,0,0,0,0,0,0,1,0
AFG,1928,0,0,0,0,0,0,1,0
AFG,1932,0,0,0,0,0,0,1,0
AFG,1936,0,0,16,0,0,0,1,0
AFG,1948,0,0,25,0,0,0,1,0
AFG,1952,0,0,0,0,0,0,1,0
AFG,1956,0,0,12,0,0,0,1,0
AFG,1960,0,0,16,0,0,0,1,0
AFG,1964,0,0,8,0,0,0,1,0
AFG,1968,0,0,5,0,0,0,1,0
AFG,1972,0,0,8,0,0,0,1,0
AFG,1976,0,0,0,0,0,0,1,0
AFG,1980,0,0,11,0,0,0,1,0
AFG,1984,0,0,0,0,0,0,1,0
AFG,1988,0,0,5,0,0,0,1,0
AFG,1992,0,0,0,0,0,0,1,0
AFG,1996,0,0,2,0,0,0,1,0
AFG,2000,0,0,0,0,0,0,1,0
AFG,2004,0,0,5,0,0,0,1,0
AFG,2008,1,0,3,0,1,0,1,0
AFG,2012,1,0,5,0,1,0,1,0
AFG,2016,0,0,3,0,0,0,1,0
AFG,2020,0,0,5,0,0,0,1,0
AFG,2024,0,0,7,0,0,0,1,0
AHO,1896,0,0,0,0,0,0,1,0
AHO,1900,0,0,0,0,0,0,1,0
AHO,1904,0,0,0,0,0,0,1,0
AHO,1906,0,0,0,0,0,0,1,0
AHO,1908,0,0,0,0,0,0,1,0
AHO,1912,0,0,0,0,0,0,1,0
AHO,1920,0,0,0,0,0,0,1,0
AHO,1924,0,0,0,0,0,0,1,0
AHO,1928,0,0,0,0,0,0,1,0
AHO,1932,0,0,0,0,0,0,1,0
AHO,1936,0,0,0,0,0,0,1,0
AHO,1948,0,0,0,0,0,0,1,0
AHO,1952,0,0,11,0,0,0,1,0
AHO,1956,0,0,0,0,0,0,1,0
AHO,1960,0,0,5,0,0,0,1,0
AHO,1964,0,0,4,0,0,0,1,0
AHO,1968,0,0,5,0,0,0,1,0
AHO,1972,0,0,2,0,0,0,1,0
AHO,1976,0,0,4,0,0,0,1,0
AHO,1980,0,0,0,0,0,0,1,0
AHO,1984,0,0,13,0,0,0,1,0
AHO,1988,0,0,3,1,1,0,1,0
AHO,1992,0,0,4,0,0,0,1,0
AHO,1996,0,0,7,0,0,0,1,0
AHO,2000,0,0,8,0,0,0,1,0
AHO,2004,0,0,3,0,0,0,1,0
AHO,2008,0,0,4,0,0,0,1,0
AHO,2012,0,0,0,0,0,0,1,0
AHO,2016,0,0,0,0,0,0,1,0
AHO,2020,0,0,0,0,0,0,1,0
AHO,2024,0,0,0,0,0,0,1,0
AIN,1896,0,0,0,0,0,1,0,0
AIN,1900,0,0,0,0,0,1,0,0
AIN,1904,0,0,0,0,0,1,0,0
AIN,1906,0,0,0,0,0,1,0,0
AIN,1908,0,0,0,0,0,1,0,0
AIN,1912,0,0,0,0,0,1,0,0
AIN,1920,0,0,0,0,0,1,0,0
AIN,1924,0,0,0,0,0,1,0,0
AIN,1928,0,0,0,0,0,1,0,0
AIN,1932,0,0,0,0,0,1,0,0
AIN,1936,0,0,0,0,0,1,0,0
AIN,1948,0,0,0,0,0,1,0,0
AIN,1952,0,0,0,0,0,1,0,0
AIN,1956,0,0,0,0,0,1,0,0
AIN,1960,0,0,0,0,0,1,0,0
AIN,1964,0,0,0,0,0,1,0,0
AIN,1968,0,0,0,0,0,1,0,0
AIN,1972,0,0,0,0,0,1,0,0
AIN,1976,0,0,0,0,0,1,0,0
AIN,1980,0,0,0,0,0,1,0,0
AIN,1984,0,0,0,0,0,1,0,0
AIN,1988,0,0,0,0,0,1,0,0
AIN,1992,0,0,0,0,0,1,0,0
AIN,1996,0,0,0,0,0,1,0,0
AIN,2000,0,0,0,0,0,1,0,0
AIN,2004,0,0,0,0,0,1,0,0
AIN,2008,0,0,0,0,0,1,0,0
AIN,2012,0,0,0,0,0,1,0,0
AIN,2016,0,0,0,0,0,1,0,0
AIN,2020,0,0,0,0,0,1,0,0
AIN,2024,1,1,40,4,6,1,0,0
ALB,1896,0,0,0,0,0,0,1,0
ALB,1900,0,0,0,0,0,0,1,0
ALB,1904,0,0,0,0,0,0,1,0
ALB,1906,0,0,0,0,0,0,1,0
ALB,1908,0,0,0,0,0,0,1,0
ALB,1912,0,0,0,0,0,0,1,0
ALB,1920,0,0,0,0,0,0,1,0
ALB,1924,0,0,0,0,0,0,1,0
ALB,1928,0,0,0,0,0,0,1,0
ALB,1932,0,0,0,0,0,0,1,0
ALB,1936,0,0,0,0,0,0,1,0
ALB,1948,0,0,0,0,0,0,1,0
ALB,1952,0,0,0,0,0,0,1,0
ALB,1956,0,0,0,0,0,0,1,0
ALB,1960,0,0,0,0,0,0,1,0
ALB,1964,0,0,0,0,0,0,1,0
ALB,1968,0,0,0,0,0,0,1,0
ALB,1972,0,0,5,0,0,0,1,0
ALB,1976,0,0,0,0,0,0,1,0
ALB,1980,0,0,0,0,0,0,1,0
ALB,1984,0,0,0,0,0,0,1,0
ALB,1988,0,0,0,0,0,0,1,0
ALB,1992,0,0,9,0,0,0,1,0
ALB,1996,0,0,9,0,0,0,1,0
ALB,2000,0,0,5,0,0,0,1,0
ALB,2004,0,0,7,0,0,0,1,0
ALB,2008,0,0,12,0,0,0,1,0
ALB,2012,0,0,10,0,0,0,1,0
ALB,2016,0,0,6,0,0,0,1,0
ALB,2020,0,0,10,0,0,0,1,0
ALB,2024,2,0,7,0,2,0,1,0
ALG,1896,0,0,0,0,0,1,0,0
ALG,1900,0,0,0,0,0,1,0,0
ALG,1904,0,0,0,0,0,1,0,0
ALG,1906,0,0,0,0,0,1,0,0
ALG,1908,0,0,0,0,0,1,0,0
ALG,1912,0,0,0,0,0,1,0,0
ALG,1920,0,0,0,0,0,1,0,0
ALG,1924,0,0,0,0,0,1,0,0
ALG,1928,0,0,0,0,0,1,0,0
ALG,1932,0,0,0,0,0,1,0,0
ALG,1936,0,0,0,0,0,1,0,0
ALG,1948,0,0,0,0,0,1,0,0
ALG,1952,0,0,0,0,0,1,0,0
ALG,1956,0,0,0,0,0,1,0,0
ALG,1960,0,0,0,0,0,1,0,0
ALG,1964,0,0,7,0,0,1,0,0
ALG,1968,0,0,9,0,0,1,0,0
ALG,1972,0,0,7,0,0,1,0,0
ALG,1976,0,0,0,0,0,1,0,0
ALG,1980,0,0,63,0,0,1,0,0
ALG,1984,2,0,31,0,2,1,0,0
ALG,1988,0,0,45,0,0,1,0,0
ALG,1992,1,1,34,0,2,1,0,0
ALG,1996,1,2,44,0,3,1,0,0
ALG,2000,3,1,46,1,5,1,0,0
ALG,2004,0,0,71,0,0,1,0,0
ALG,2008,1,0,55,1,2,1,0,0
ALG,2012,0,1,38,0,1,1,0,0
ALG,2016,0,0,72,2,2,1,0,0
ALG,2020,0,0,45,0,0,1,0,0
ALG,2024,1,2,52,0,3,1,0,0
AND,1896,0,0,0,0,0,0,0,1
AND,1900,0,0,0,0,0,0,0,1
AND,1904,0,0,0,0,0,0,0,1
AND,1906,0,0,0,0,0,0,0,1
AND,1908,0,0,0,0,0,0,0,1
AND,1912,0,0,0,0,0,0,0,1
AND,1920,0,0,0,0,0,0,0,1
AND,1924,0,0,0,0,0,0,0,1
AND,1928,0,0,0,0,0,0,0,1
AND,1932,0,0,0,0,0,0,0,1
AND,1936,0,0,0,0,0,0,0,1
AND,1948,0,0,0,0,0,0,0,1
AND,1952,0,0,0,0,0,0,0,1
AND,1956,0,0,0,0,0,0,0,1
AND,1960,0,0,0,0,0,0,0,1
AND,1964,0,0,0,0,0,0,0,1
AND,1968,0,0,0,0,0,0,0,1
AND,1972,0,0,0,0,0,0,0,1
AND,1976,0,0,3,0,0,0,0,1
AND,1980,0,0,2,0,0,0,0,1
AND,1984,0,0,2,0,0,0,0,1
AND,1988,0,0,4,0,0,0,0,1
AND,1992,0,0,8,0,0,0,0,1
AND,1996,0,0,8,0,0,0,0,1
AND,2000,0,0,5,0,0,0,0,1
AND,2004,0,0,6,0,0,0,0,1
AND,2008,0,0,5,0,0,0,0,1
AND,2012,0,0,6,0,0,0,0,1
AND,2016,0,0,4,0,0,0,0,1
AND,2020,0,0,3,0,0,0,0,1
AND,2024,0,0,4,0,0,0,0,1
ANG,1896,0,0,0,0,0,0,0,1
ANG,1900,0,0,0,0,0,0,0,1
ANG,1904,0,0,0,0,0,0,0,1
ANG,1906,0,0,0,0,0,0,0,1
ANG,1908,0,0,0,0,0,0,0,1
ANG,1912,0,0,0,0,0,0,0,1
ANG,1920,0,0,0,0,0,0,0,1
ANG,1924,0,0,0,0,0,0,0,1
ANG,1928,0,0,0,0,0,0,0,1
ANG,1932,0,0,0,0,0,0,0,1
ANG,1936,0,0,0,0,0,0,0,1
ANG,1948,0,0,0,0,0,0,0,1
ANG,1952,0,0,0,0,0,0,0,1
ANG,1956,0,0,0,0,0,0,0,1
ANG,1960,0,0,0,0,0,0,0,1
