NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,No_Medals,Total_Medals,Country_Event_Participation,Event_Total_Participation,Parti_to_Gold,Parti_to_Silver,Parti_to_Bronze,Parti_to_Medal,Participate_Rate,Weight,Score,Rank
AFG,Athletics,`,0,0,26,0,26,43294,0,0,0,0,0.000600545,0,0.043927631,5
AFG,Boxing,0,0,0,5,0,5,6584,0,0,0,0,0.000759417,0,0.009532866,7
AFG,Cycling Road,0,0,0,3,0,3,493,0,0,0,0,0.006085193,0,0.052429994,4
AFG,Football,0,0,0,11,0,11,7906,0,0,0,0,0.001391348,0,0.02142978,6
AFG,Hockey,0,0,0,39,0,39,6264,0,0,0,0,0.006226054,0,0.082331768,3
AFG,Judo,0,0,0,4,0,4,4876,0,0,0,0,0.000820345,0,0.008678988,8
AFG,Shooting,0,0,0,1,0,1,12580,0,0,0,0,7.95E-05,0,3.48E-05,10
AFG,Swimming,0,0,0,2,0,2,26416,0,0,0,0,7.57E-05,0,0.001819792,9
AFG,Taekwondo,0,0,2,3,2,5,870,0,0,0.4,0.4,0.005747126,22,0.936511285,1
AFG,Wrestling,0,0,0,42,0,42,7734,0,0,0,0,0.005430566,0,0.082415512,2
AHO,Athletics,0,0,0,14,0,14,43294,0,0,0,0,0.00032337,0,0.020672285,5
AHO,Equestrianism,0,0,0,2,0,2,6344,0,0,0,0,0.000315259,0,0.001620764,11
AHO,Fencing,0,0,0,4,0,4,11558,0,0,0,0,0.000346081,0,0.004868887,10
AHO,Football,0,0,0,11,0,11,7906,0,0,0,0,0.001391348,0,0.022454739,4
AHO,Judo,0,0,0,3,0,3,4876,0,0,0,0,0.000615258,0,0.005537038,9
AHO,Sailing,0,1,0,5,1,6,7266,0,0.166666667,0,0.166666667,0.000825764,11100,0.947392858,1
AHO,Shooting,0,0,0,7,0,7,12580,0,0,0,0,0.000556439,0,0.010292959,8
AHO,Swimming,0,0,0,11,0,11,26416,0,0,0,0,0.000416414,0,0.016048042,6
AHO,Synchronized Swimming,0,0,0,4,0,4,909,0,0,0,0,0.00440044,0,0.058273596,2
AHO,Triathlon,0,0,0,1,0,1,822,0,0,0,0,0.001216545,0,0.013410331,7
AHO,Weightlifting,0,0,0,11,0,11,4256,0,0,0,0,0.002584586,0,0.036536472,3
AIN,Canoe Sprint,0,0,0,6,0,6,756,0,0,0,0,0.007936508,0,0.037312335,6
AIN,Cycling Road,0,0,0,7,0,7,493,0,0,0,0,0.014198783,0,0.062822788,5
AIN,Rowing,0,1,0,1,1,2,11625,0,0.5,0,0.5,0.000172043,11100,0.217520212,3
AIN,Shooting,0,0,0,2,0,2,12580,0,0,0,0,0.000158983,0,0.003093563,10
AIN,Swimming,0,0,0,7,0,7,26416,0,0,0,0,0.000264991,0,0.018294645,7
AIN,Taekwondo,0,0,0,1,0,1,870,0,0,0,0,0.001149425,0,0.004467623,8
AIN,Tennis,0,2,0,12,2,14,3446,0,0.142857143,0,0.142857143,0.004062681,22200,0.20885318,4
AIN,Trampoline Gymnastics,1,1,0,1,2,3,64,0.333333333,0.333333333,0,0.666666667,0.046875,1111111100,0.52409694,1
AIN,Weightlifting,0,0,1,1,1,2,4256,0,0,0.5,0.5,0.000469925,11,0.468868671,2
AIN,Wrestling,0,0,0,2,0,2,7734,0,0,0,0,0.000258598,0,0.003126257,9
ALB,Artistic Gymnastics,0,0,0,1,0,1,2297,0,0,0,0,0.00043535,0,0.00849079,7
ALB,Athletics,0,0,0,16,0,16,43294,0,0,0,0,0.000369566,0,0.03229282,4
ALB,Cycling,0,0,0,1,0,1,10859,0,0,0,0,9.21E-05,0,0,8
ALB,Judo,0,0,0,3,0,3,4876,0,0,0,0,0.000615258,0,0.013579088,6
ALB,Shooting,0,0,0,20,0,20,12580,0,0,0,0,0.001589825,0,0.052938235,3
ALB,Swimming,0,0,0,15,0,15,26416,0,0,0,0,0.000567838,0,0.03167941,5
ALB,Weightlifting,0,0,0,19,0,19,4256,0,0,0,0,0.004464286,0,0.1044087,2
ALB,Wrestling,0,0,2,5,2,7,7734,0,0,0.285714286,0.285714286,0.000905094,22,0.91431428,1
