NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,No_Medals,Total_Medals,Country_Event_Participation,Event_Total_Participation,Parti_to_Gold,Parti_to_Silver,Parti_to_Bronze,Parti_to_Medal,Partipate_Rate,,Score,Rank
AFG,Athletics,0,0,0,26,0,26,43294,0,0,0,0,0.000600545,,0,5
AFG,Boxing,0,0,0,5,0,5,6584,0,0,0,0,0.000759417,,0,5
AFG,Cycling Road,0,0,0,3,0,3,493,0,0,0,0,0.006085193,,0,5
AFG,Football,0,0,0,11,0,11,7906,0,0,0,0,0.001391348,,0,5
AFG,Hockey,0,0,0,39,0,39,6264,0,0,0,0,0.006226054,,0,5
AFG,Judo,0,0,0,4,0,4,4876,0,0,0,0,0.000820345,,0,5
AFG,Shooting,0,0,0,1,0,1,12580,0,0,0,0,7.95E-05,,0,5
AFG,Swimming,0,0,0,2,0,2,26416,0,0,0,0,7.57E-05,,0,5
AFG,Taekwondo,0,0,2,3,2,5,870,0,0,0.4,0.4,0.005747126,,0,5
AFG,Wrestling,0,0,0,42,0,42,7734,0,0,0,0,0.005430566,,0,5
AHO,Athletics,0,0,0,14,0,14,43294,0,0,0,0,0.00032337,,0,6
AHO,Equestrianism,0,0,0,2,0,2,6344,0,0,0,0,0.000315259,,0,6
AHO,Fencing,0,0,0,4,0,4,11558,0,0,0,0,0.000346081,,0,6
AHO,Football,0,0,0,11,0,11,7906,0,0,0,0,0.001391348,,0,6
AHO,Judo,0,0,0,3,0,3,4876,0,0,0,0,0.000615258,,0,6
AHO,Sailing,0,1,0,5,1,6,7266,0,0.166666667,0,0.166666667,0.000825764,,0,6
AHO,Shooting,0,0,0,7,0,7,12580,0,0,0,0,0.000556439,,0,6
AHO,Swimming,0,0,0,11,0,11,26416,0,0,0,0,0.000416414,,0,6
AHO,Synchronized Swimming,0,0,0,4,0,4,909,0,0,0,0,0.00440044,,0,6
AHO,Triathlon,0,0,0,1,0,1,822,0,0,0,0,0.001216545,,0,6
AHO,Weightlifting,0,0,0,11,0,11,4256,0,0,0,0,0.002584586,,0,6
AIN,Canoe Sprint,0,0,0,6,0,6,756,0,0,0,0,0.007936508,,0.015763624,9
AIN,Cycling Road,0,0,0,7,0,7,493,0,0,0,0,0.014198783,,0.018681718,8
AIN,Rowing,0,1,0,1,1,2,11625,0,0.5,0,0.5,0.000172043,,0.223803044,3
