NOC,Name,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Competitions
AFG,Abdul Assar,0,0,0,0,2
AFG,Abdul Azimi,0,0,0,0,1
AFG,Abdul Ghafoor,0,0,0,0,1
AFG,Abdul Ghafoori,0,0,0,0,1
AFG,Abdul Kharot,0,0,0,0,1
AFG,Abdul Nuristani,0,0,0,0,2
AFG,Abdul Rahim,0,0,0,0,1
AFG,Abdul Shekaib,0,0,0,0,2
AFG,Abdul Tajik,0,0,0,0,1
AFG,Abdul Wardak,0,0,0,0,2
AFG,Abdul Wasiqi,0,0,0,0,1
AFG,Abdul Yusufzai,0,0,0,0,1
AFG,Abdul Zahiri,0,0,0,0,1
AFG,Abouwi Shah,0,0,0,0,1
AFG,Ahmad Abouwi,0,0,0,0,1
AFG,Ahmad Djan,0,0,0,0,2
AFG,Ahmad Nasir,0,0,0,0,1
AFG,Ahmad Nesar,0,0,0,0,1
AFG,Ahmad Nuristani,0,0,0,0,1
AFG,Ahmad Tajik,0,0,0,0,1
AFG,Ahmad Yusufzai,0,0,0,0,1
AFG,Ahmadjan Khasan,0,0,0,0,1
AFG,Ajmal Faisal,0,0,0,0,1
AFG,Ajmal Faizzada,0,0,0,0,1
AFG,Aka-Jahan Dastagir,0,0,0,0,1
AFG,Alam Mir,0,0,0,0,1
AFG,Ali Dad,0,0,0,0,1
AFG,Ali Zaid,0,0,0,0,2
AFG,Amir Khalunder,0,0,0,0,1
AFG,Bakhteyar Mangal,0,0,0,0,2
AFG,Basharmal Sultani,0,0,0,0,1
AFG,Bashir Rahmati,0,0,0,0,1
AFG,Din Nuristani,0,0,0,0,2
AFG,Djan-Aka Djan,0,0,0,0,2
AFG,Esmail Mohammad,0,0,0,0,1
AFG,Fahim Anwari,0,0,0,0,2
AFG,Faiz Khakshar,0,0,0,0,2
AFG,Fariba Hashimi,0,0,0,0,1
AFG,Farzad Mansouri,0,0,0,0,1
AFG,Friba Razayee,0,0,0,0,1
AFG,G. Jagi,0,0,0,0,1
AFG,Ghazi Salah-ud-din,0,0,0,0,1
AFG,Ghulam Dastagir,0,0,0,0,2
AFG,Ghulam Gunga,0,0,0,0,1
AFG,Ghulam Sanay,0,0,0,0,1
AFG,Ghulam Sideer,0,0,0,0,1
AFG,Habib Sayed,0,0,0,0,2
AFG,Hussain Fazal,0,0,0,0,1
AFG,Ibrahim Shudzandin,0,0,0,0,1
AFG,Jahan Nuristani,0,0,0,0,2
AFG,Jammal-ud-Din Affendi,0,0,0,0,1
AFG,Kamia Yousufi,0,0,0,0,1
AFG,Kayum Ayub,0,0,0,0,1
AFG,Khan Totakhail,0,0,0,0,2
AFG,Khojawahid Zahedi,0,0,0,0,1
AFG,Kimia Yousofi,0,0,0,0,2
AFG,Mahdi Yovari,0,0,0,0,1
AFG,Mahmood Noor,0,0,0,0,2
AFG,Masoud Azizi,0,0,0,0,3
AFG,Mian Shah,0,0,0,0,1
AFG,Mohammad Afzal,0,0,0,0,1
AFG,Mohammad Aktar,0,0,0,0,1
AFG,Mohammad Anwary,0,0,0,0,1
AFG,Mohammad Arref,0,0,0,0,1
AFG,Mohammad Asif,0,0,0,0,1
AFG,Mohammad Attai,0,0,0,0,1
AFG,Mohammad Aynutdin,0,0,0,0,1
AFG,Mohammad Bakhshi,0,0,0,0,1
AFG,Mohammad Ebrahimi,0,0,0,0,3
AFG,Mohammad Gharzai,0,0,0,0,1
AFG,Mohammad Halilula,0,0,0,0,1
AFG,Mohammad Kederi,0,0,0,0,1
AFG,Mohammad Khan,0,0,0,0,2
AFG,Mohammad Kharot,0,0,0,0,1
AFG,Mohammad Khogaini,0,0,0,0,1
AFG,Mohammad Khokan,0,0,0,0,1
AFG,Mohammad Nuristani,0,0,0,0,4
AFG,Mohammad Razigul,0,0,0,0,1
AFG,Mohammad Sherzai,0,0,0,0,1
AFG,Mohammad Shir,0,0,0,0,1
AFG,Mohammad Sultan,0,0,0,0,1
AFG,Mohammad Taj,0,0,0,0,1
AFG,Mohammad Yusufzai,0,0,0,0,1
AFG,Najam Yahya,0,0,0,0,1
AFG,Nesar Bahawi,0,0,0,0,2
AFG,Nizam-ud-din Subhani,0,0,0,0,1
AFG,Noor Nuristani,0,0,0,0,1
AFG,Nour Noor,0,0,0,0,1
AFG,Nour Sayed,0,0,0,0,1
AFG,Rabani Ghulam,0,0,0,0,1
AFG,Ramazan Nuristani,0,0,0,0,1
AFG,Robina Yaar,0,0,0,0,2
AFG,Rohullah Nikpai,2,0,0,2,2
AFG,Saadat Shazada,0,0,0,0,1
AFG,Sakhidad Hamidi,0,0,0,0,1
AFG,Samim Faizad,0,0,0,0,1
AFG,Sardar Wahib,0,0,0,0,1
AFG,Sayed Atta,0,0,0,0,1
AFG,Sayed Ayub,0,0,0,0,1
AFG,Sayed Babaci,0,0,0,0,1
AFG,Shakar Shakar,0,0,0,0,2
AFG,Shuja Ud-din,0,0,0,0,1
AFG,Sultan Dost,0,0,0,0,1
AFG,Tahmina Kohistani,0,0,0,0,1
AFG,Wahid Zaid,0,0,0,0,1
AFG,Yar Barakzai,0,0,0,0,1
AFG,Yulduz Hashimi,0,0,0,0,2
AFG,Zahir Al-zadah,0,0,0,0,1
AHO,Adriaan Brokke,0,0,0,0,1
AHO,Caimin Douglas,0,0,0,0,1
AHO,Churandy Martina,0,0,0,0,3
AHO,Constantino Saragoza,0,0,0,0,2
AHO,Cor Aanholt,0,0,0,0,1
AHO,Edmundo Vlinder,0,0,0,0,1
AHO,Eduard Stibbe,0,0,0,0,2
AHO,Eduardo Adriana,0,0,0,0,2
AHO,Elisabeth Waard,0,0,0,0,1
AHO,Ellsworth Manuel,0,0,0,0,1
AHO,Ergilio Hato,0,0,0,0,1
AHO,Esther Croes,0,0,0,0,2
AHO,Evelyn Farrell,0,0,0,0,1
AHO,Evert Kroon,0,0,0,0,3
AHO,Florencia Hunt,0,0,0,0,1
AHO,Fortunato Rijna,0,0,0,0,2
AHO,Geronimo Goeloe,0,0,0,0,1
AHO,Guillermo Giribaldi,0,0,0,0,1
AHO,Guillermo Krips,0,0,0,0,1
AHO,Hector Curiel,0,0,0,0,2
AHO,Hilton Woods,0,0,0,0,3
AHO,Howard Hinds,0,0,0,0,3
AHO,Ivonne Kistemaker,0,0,0,0,1
AHO,Jaime Felipa,0,0,0,0,1
AHO,James Sharpe,0,0,0,0,1
AHO,Jan Boersma,1,0,1,0,1
AHO,Jan Prins,0,0,0,0,2
AHO,Jeanne Lopes,0,0,0,0,1
AHO,Jorge Brion,0,0,0,0,1
AHO,Jos Flores,0,0,0,0,1
AHO,Juan Briezen,0,0,0,0,1
AHO,Julien Thode,0,0,0,0,2
AHO,Michel Daou,0,0,0,0,4
AHO,Myrna Plate,0,0,0,0,1
AHO,Nicole Hoevertsz,0,0,0,0,2
AHO,Paul Dielemans,0,0,0,0,1
AHO,Pedro Matrona,0,0,0,0,1
AHO,Petra Bekaert,0,0,0,0,1
AHO,Philip Elhage,0,0,0,0,1
AHO,Ramiro Fermin,0,0,0,0,1
AHO,Raymond Heerenveen,0,0,0,0,1
AHO,Roberto Lindeborg,0,0,0,0,1
AHO,Rodion Davelaar,0,0,0,0,1
AHO,Roland Melis,0,0,0,0,1
AHO,Rudolf Sofia,0,0,0,0,3
AHO,Sergio Murray,0,0,0,0,1
AHO,Siegfried Regales,0,0,0,0,1
AHO,Soraima Martha,0,0,0,0,1
AHO,Wilfred Lanoi,0,0,0,0,1
AHO,Wilhelm Canword,0,0,0,0,1
AHO,Willem Maduro,0,0,0,0,1
AHO,Willys Heyliger,0,0,0,0,1
AIN,Abubakar Khaslakhanau,0,0,0,0,1
AIN,Alena Ivanchenko,0,0,0,0,1
AIN,Alexey Korovashkov,0,0,0,0,1
AIN,Aliaksandra Piatrova,0,0,0,0,1
AIN,Alina Zmushka,0,0,0,0,2
AIN,Anastasiya Shkurdai,0,0,0,0,2
AIN,Anzhela Bladtceva,0,0,0,0,1
AIN,Daniil Medvedev,0,0,0,0,3
AIN,Darya Chuprys,0,0,0,0,1
AIN,Diana Shnaider,1,0,1,0,2
AIN,Ekaterina Alexandrova,0,0,0,0,2
AIN,Elena Vesnina,0,0,0,0,1
AIN,Evgenii Somov,0,0,0,0,2
AIN,Georgiy Gurtsiev,0,0,0,0,1
AIN,Gleb Syritsa,0,0,0,0,2
AIN,Hanna Tserakh,0,0,0,0,2
AIN,Ilya Shymanovich,0,0,0,0,1
AIN,Ivan Litvinovich,1,1,0,0,1
AIN,Mahamedkhabib Kadzimahamedau,0,0,0,0,1
AIN,Mirra Andreeva,1,0,1,0,3
AIN,Olesia Romasenko,0,0,0,0,1
AIN,Pavel Kotov,0,0,0,0,1
AIN,Roman Safiullin,0,0,0,0,2
AIN,Siuzanna Valodzka,0,0,0,0,1
AIN,Tamara Dronova,0,0,0,0,2
AIN,Tatsiana Klimovich,0,0,0,0,1
AIN,Uladzislau Kravets,0,0,0,0,1
AIN,Viyaleta Bardzilouskaya,1,0,1,0,1
AIN,Yauheni Tsikhantsou,1,0,0,1,1
AIN,Yauheni Zalaty,1,0,1,0,1
AIN,Yuliya Trushkina,0,0,0,0,1
AIN,Zakhar Petrov,0,0,0,0,2
ALB,Adriatik Hoxha,0,0,0,0,1
ALB,Afrdita Tusha,0,0,0,0,1
ALB,Alma Qeramixhi,0,0,0,0,1
ALB,Arben Kucana,0,0,0,0,2
ALB,Beqir Kosova,0,0,0,0,1
ALB,Besnik Musaj,0,0,0,0,1
ALB,Briken Calja,0,0,0,0,3
ALB,Chermen Valiev,1,0,0,1,1
ALB,Daniel Godelli,0,0,0,0,1
ALB,Dede Dekaj,0,0,0,0,1
ALB,Djana Mata,0,0,0,0,4
ALB,Dorian Ollaku,0,0,0,0,2
ALB,Edmond Topalli,0,0,0,0,1
ALB,Elis Guri,0,0,0,0,1
ALB,Endri Karina,0,0,0,0,1
ALB,Enkelejda -bekurti),0,0,0,0,3
ALB,Erkand Qerimaj,0,0,0,0,2
ALB,Evagjelia Veli,0,0,0,0,1
ALB,Fatmir Bushi,0,0,0,0,1
ALB,Fatos Pilkati,0,0,0,0,1
ALB,Frank Leskaj,0,0,0,0,3
ALB,Franko Burraj,0,0,0,0,1
ALB,Gerti Trasha,0,0,0,0,2
ALB,Grisi Koxhaku,0,0,0,0,1
ALB,Ilirjan Suli,0,0,0,0,2
ALB,Indrit Cullhaj,0,0,0,0,1
ALB,Islam Dudaev,1,0,0,1,1
ALB,Ismail Rama,0,0,0,0,1
ALB,Izmir Smajlaj,0,0,0,0,2
ALB,Kaltra Meca,0,0,0,0,1
ALB,Kledi Kadiu,0,0,0,0,1
ALB,Klodiana Shala,0,0,0,0,3
ALB,Kreshnik Gjata,0,0,0,0,1
ALB,Kristo Robo,0,0,0,0,1
ALB,Lindita Kodra,0,0,0,0,2
ALB,Luiza Gega,0,0,0,0,3
ALB,Majlinda Kelmendi,0,0,0,0,1
ALB,Manjola Konini,0,0,0,0,2
ALB,Manuela Delilaj,0,0,0,0,2
ALB,Matvei Petrov,0,0,0,0,1
ALB,Mirela Maniani-tzelili,0,0,0,0,1
ALB,Nikol Merizaj,0,0,0,0,2
ALB,Noel Borshi,0,0,0,0,1
ALB,Oltion Luli,0,0,0,0,1
ALB,Romela Begaj,0,0,0,0,2
ALB,Rovena Marku,0,0,0,0,2
ALB,Sahit Prizreni,0,0,0,0,2
ALB,Shkelqim Troplini,0,0,0,0,1
ALB,Sidni Hoxha,0,0,0,0,3
ALB,Sokol Bishanaku,0,0,0,0,1
ALB,Theoharis Trasha,0,0,0,0,1
ALB,Vera (bregu-),0,0,0,0,1
ALB,Ymer Pampuri,0,0,0,0,1
ALB,Zelimkhan Abakarov,0,0,0,0,1
ALG,Abdel Bakir,0,0,0,0,1
ALG,Abdel Bergheul,0,0,0,0,1
ALG,Abdel Bouanani,0,0,0,0,1
ALG,Abdel Boulehia,0,0,0,0,1
ALG,Abdel Bounour,0,0,0,0,1
ALG,Abdel Djaziri,0,0,0,0,1
ALG,Abdel Djemil,0,0,0,0,2
ALG,Abdel Ferguene,0,0,0,0,2
ALG,Abdel Hamiche,0,0,0,0,1
ALG,Abdel Harkat,0,0,0,0,2
ALG,Abdel Kenzi,0,0,0,0,2
ALG,Abdel Klouchi,0,0,0,0,1
ALG,Abdel Loukil,0,0,0,0,1
ALG,Abdel Mada,0,0,0,0,2
ALG,Abdel Sahil,0,0,0,0,1
ALG,Abdel Slimani,0,0,0,0,1
ALG,Abdel Soula,0,0,0,0,2
ALG,Abdel Yahiaoui,0,0,0,0,2
ALG,Abdelaziz Touilbini,0,0,0,0,1
ALG,Abdelghani Demmou,0,0,0,0,1
ALG,Abdelhafid Benchabla,0,0,0,0,4
ALG,Abdelhak Bouhalissa,0,0,0,0,1
ALG,Abdelhak Kherbache,0,0,0,0,1
ALG,Abdelhakim Bitat,0,0,0,0,1
ALG,Abdelhakim Maazouz,0,0,0,0,1
ALG,Abdelhalim Ourradi,0,0,0,0,1
ALG,Abdelkader Chadi,0,0,0,0,3
ALG,Abdelkarim Fergat,0,0,0,0,2
ALG,Abdelmalek Merabet,0,0,0,0,1
ALG,Abdelmalek Rahou,0,0,0,0,1
ALG,Abdelmalik Lahoulou,0,0,0,0,2
ALG,Abdelraouf Benguit,0,0,0,0,1
ALG,Abderrahmane Benamadi,0,0,0,0,1
ALG,Abderrahmane Daidj,0,0,0,0,1
ALG,Abderrahmane Derouaz,0,0,0,0,1
ALG,Abderrahmane Mansouri,0,0,0,0,1
ALG,Abderrahmane Morceli,0,0,0,0,2
ALG,Abderrahmane Zaheer,1,0,0,1,2
ALG,Abderzak Bella,0,0,0,0,2
ALG,Abu Draouci,0,0,0,0,2
ALG,Achour Hasni,0,0,0,0,1
ALG,Adel Sennoun,0,0,0,0,1
ALG,Adem Boudjemline,0,0,0,0,2
ALG,Adem Hecini,0,0,0,0,4
ALG,Aghiles Slimani,0,0,0,0,2
ALG,Ahcen Djeffal,0,0,0,0,2
