Name,NOC,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals
(jr) Larocca,ARG,0,0,0,0
. Chadalavada,IND,0,0,0,0
. Deni,INA,0,0,0,0
A Alayed,KSA,0,0,0,0
A Dijiang,CHN,0,0,0,0
A Lamusi,CHN,0,0,0,0
A Luypaert,BEL,1,1,0,0
A Vanbellinghen,BEL,0,0,0,0
A'ja Wilson,USA,2,2,0,0
A. (regnier-),FRA,0,0,0,0
A. Ahmed,IND,0,0,0,0
A. Albert,FRA,1,1,0,0
A. Basheer,IND,0,0,0,0
A. Brun,FRA,0,0,0,0
A. Buydens,BEL,0,0,0,0
A. Chagale,IND,0,0,0,0
A. Christory,FRA,0,0,0,0
A. Darnis,FRA,0,0,0,0
A. Dubois,FRA,2,0,1,1
A. Duponcheel,FRA,0,0,0,0
A. Efik,TUR,0,0,0,0
A. Erilmez,TUR,0,0,0,0
A. Fernando,SRI,0,0,0,0
A. Ford,GBR,0,0,0,0
A. Fridt,BEL,0,0,0,0
A. Godinat,FRA,0,0,0,0
A. Harley,GBR,0,0,0,0
A. Jr.,BEL,0,0,0,0
A. Kordonis,GRE,0,0,0,0
A. Laffen,UNK,0,0,0,0
A. Lafontaine,FRA,0,0,0,0
A. Lawry,GBR,1,0,1,0
A. Mayavo,MAS,0,0,0,0
A. Page,GBR,0,0,0,0
A. Papadakis,GRE,0,0,0,0
A. Pinner,GBR,0,0,0,0
A. Porcher,FRA,0,0,0,0
A. Priftis,GRE,0,0,0,0
A. Rae,GBR,0,0,0,0
A. Razzak,IRQ,0,0,0,0
A. Roger,FRA,0,0,0,0
A. Rogers,GBR,0,0,0,0
A. Romigny,FRA,0,0,0,0
A. Schmitt,SUI,0,0,0,0
A. Six,FRA,0,0,0,0
A. Tryfiatis-trypiapis,GRE,0,0,0,0
A. Upton,BEL,1,0,1,0
A. Vargas,CHI,0,0,0,0
A. West,GBR,1,0,1,0
A. Willcocks,GBR,1,0,1,0
A. Woods,USA,1,0,1,0
ABNER,BRA,1,1,0,0
ADRIANA,BRA,1,0,1,0
ALINE,BRA,0,0,0,0
AMI,JPN,1,1,0,0
AMIR,KAZ,0,0,0,0
AMIT,IND,0,0,0,0
ANDRESSA,BRA,0,0,0,0
ANDRESSINHA,BRA,0,0,0,0
ANGELINA,BRA,1,0,1,0
ANKITA,IND,0,0,0,0
ANTI,ITA,0,0,0,0
ANTONIA,BRA,1,0,1,0
ANTONY,BRA,1,1,0,0
AYUMI,JPN,0,0,0,0
Aa Joaquim,ANG,0,0,0,0
Aaboe Sloth,DEN,1,0,1,0
Aadam Khamis,BRN,0,0,0,0
Aadjijatmiko H.,INA,0,0,0,0
Aadolf Svanstrm,FIN,0,0,0,0
Aafke Hament,NED,0,0,0,0
Aagaard Hansen,DEN,0,0,0,0
Aage (-remfeldt),DEN,0,0,0,0
Aage Andersen,DEN,1,1,0,0
Aage Berntsen,DEN,0,0,0,0
Aage Birch,DEN,1,0,1,0
Aage Brix,USA,0,0,0,0
Aage Eriksen,NOR,1,0,1,0
Aage Frandsen,DEN,1,1,0,0
Aage Hansen,DEN,1,0,0,1
Aage Heimann,DEN,0,0,0,0
Aage Hellstrm,DEN,0,0,0,0
Aage Hermann,DEN,0,0,0,0
Aage Holm,DEN,0,0,0,0
Aage Jensen,DEN,0,0,0,0
Aage Jrgensen,DEN,1,0,1,0
Aage Kirkegaard,DEN,0,0,0,0
Aage Larsen,DEN,1,0,1,0
Aage Lassen,DEN,0,0,0,0
Aage Leidersdorff,DEN,0,0,0,0
Aage Madsen,DEN,0,0,0,0
Aage Meyer,DEN,0,0,0,0
Aage Myhrvold,NOR,0,0,0,0
Aage Nielsen-edwin,DEN,0,0,0,0
Aage Pedersen,DEN,1,0,1,0
Aage Poulsen,DEN,0,0,0,0
Aage Rubk-nielsen,DEN,0,0,0,0
Aage Steen,NOR,0,0,0,0
Aage Walther,DEN,1,0,1,0
Aagje Linden),NED,3,1,2,0
Aagje Vanwalleghem,BEL,0,0,0,0
Aagot Hansen,DEN,0,0,0,0
Aagot Norman,NOR,0,0,0,0
Aale -haavio),FIN,1,1,0,0
Aaliyah Butler,USA,1,1,0,0
Aaliyah Edwards,CAN,0,0,0,0
Aan Hussain,MDV,0,0,0,0
Aapeli Korhonen,FIN,0,0,0,0
Aapo Perko,FIN,0,0,0,0
Aarik Wilson,USA,0,0,0,0
