NOC,Name,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Birth_Year
AFG,Abdul Assar,0,0,0,0,
AFG,Abdul Azimi,0,0,0,0,
AFG,Abdul Ghafoor,0,0,0,0,
AFG,Abdul Ghafoori,0,0,0,0,
AFG,Abdul Kharot,0,0,0,0,
AFG,Abdul Nuristani,0,0,0,0,
AFG,Abdul Rahim,0,0,0,0,
AFG,Abdul Shekaib,0,0,0,0,
AFG,Abdul Tajik,0,0,0,0,
AFG,Abdul Wardak,0,0,0,0,
AFG,Abdul Wasiqi,0,0,0,0,
AFG,Abdul Yusufzai,0,0,0,0,
AFG,Abdul Zahiri,0,0,0,0,
AFG,Abouwi Shah,0,0,0,0,
AFG,Ahmad Abouwi,0,0,0,0,
AFG,Ahmad Djan,0,0,0,0,
AFG,Ahmad Nasir,0,0,0,0,
AFG,Ahmad Nesar,0,0,0,0,
AFG,Ahmad Nuristani,0,0,0,0,
AFG,Ahmad Tajik,0,0,0,0,
AFG,Ahmad Yusufzai,0,0,0,0,
AFG,Ahmadjan Khasan,0,0,0,0,
AFG,Ajmal Faisal,0,0,0,0,
AFG,Ajmal Faizzada,0,0,0,0,
AFG,Aka-Jahan Dastagir,0,0,0,0,
AFG,Alam Mir,0,0,0,0,
AFG,Ali Dad,0,0,0,0,
AFG,Ali Zaid,0,0,0,0,
AFG,Amir Khalunder,0,0,0,0,
AFG,Bakhteyar Mangal,0,0,0,0,
AFG,Basharmal Sultani,0,0,0,0,
AFG,Bashir Rahmati,0,0,0,0,
AFG,Din Nuristani,0,0,0,0,
AFG,Djan-Aka Djan,0,0,0,0,
AFG,Esmail Mohammad,0,0,0,0,
AFG,Fahim Anwari,0,0,0,0,
AFG,Faiz Khakshar,0,0,0,0,
AFG,Fariba Hashimi,0,0,0,0,
AFG,Farzad Mansouri,0,0,0,0,
AFG,Friba Razayee,0,0,0,0,
AFG,G. Jagi,0,0,0,0,
AFG,Ghazi Salah-ud-din,0,0,0,0,
AFG,Ghulam Dastagir,0,0,0,0,
AFG,Ghulam Gunga,0,0,0,0,
AFG,Ghulam Sanay,0,0,0,0,
AFG,Ghulam Sideer,0,0,0,0,
AFG,Habib Sayed,0,0,0,0,
AFG,Hussain Fazal,0,0,0,0,
AFG,Ibrahim Shudzandin,0,0,0,0,
AFG,Jahan Nuristani,0,0,0,0,
AFG,Jammal-ud-Din Affendi,0,0,0,0,
AFG,Kamia Yousufi,0,0,0,0,
AFG,Kayum Ayub,0,0,0,0,
AFG,Khan Totakhail,0,0,0,0,
AFG,Khojawahid Zahedi,0,0,0,0,
AFG,Kimia Yousofi,0,0,0,0,
AFG,Mahdi Yovari,0,0,0,0,
AFG,Mahmood Noor,0,0,0,0,
AFG,Masoud Azizi,0,0,0,0,
AFG,Mian Shah,0,0,0,0,
AFG,Mohammad Afzal,0,0,0,0,
AFG,Mohammad Aktar,0,0,0,0,
AFG,Mohammad Anwary,0,0,0,0,
AFG,Mohammad Arref,0,0,0,0,
AFG,Mohammad Asif,0,0,0,0,
AFG,Mohammad Attai,0,0,0,0,
AFG,Mohammad Aynutdin,0,0,0,0,
AFG,Mohammad Bakhshi,0,0,0,0,
AFG,Mohammad Ebrahimi,0,0,0,0,
AFG,Mohammad Gharzai,0,0,0,0,
AFG,Mohammad Halilula,0,0,0,0,
AFG,Mohammad Kederi,0,0,0,0,
