NOC,Name,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals
AFG,Fahim Anwari,0,0,0,0
AFG,Fariba Hashimi,0,0,0,0
AFG,Farzad Mansouri,0,0,0,0
AFG,Kimia Yousofi,0,0,0,0
AFG,Mahdi Yovari,0,0,0,0
AFG,Mahmood Noor,0,0,0,0
AFG,Samim Faizad,0,0,0,0
AFG,Yulduz Hashimi,0,0,0,0
AIN,Abubakar Khaslakhanau,0,0,0,0
AIN,Alena Ivanchenko,0,0,0,0
AIN,Alexey Korovashkov,0,0,0,0
AIN,Aliaksandra Piatrova,0,0,0,0
AIN,Alina Zmushka,0,0,0,0
AIN,Anastasiya Shkurdai,0,0,0,0
AIN,Anzhela Bladtceva,0,0,0,0
AIN,Daniil Medvedev,0,0,0,0
AIN,Darya Chuprys,0,0,0,0
AIN,Diana Shnaider,1,0,1,0
AIN,Ekaterina Alexandrova,0,0,0,0
AIN,Elena Vesnina,0,0,0,0
AIN,Evgenii Somov,0,0,0,0
AIN,Georgiy Gurtsiev,0,0,0,0
AIN,Gleb Syritsa,0,0,0,0
AIN,Hanna Tserakh,0,0,0,0
AIN,Ilya Shymanovich,0,0,0,0
AIN,Ivan Litvinovich,1,1,0,0
AIN,Mahamedkhabib Kadzimahamedau,0,0,0,0
AIN,Mirra Andreeva,1,0,1,0
AIN,Olesia Romasenko,0,0,0,0
AIN,Pavel Kotov,0,0,0,0
AIN,Roman Safiullin,0,0,0,0
AIN,Siuzanna Valodzka,0,0,0,0
AIN,Tamara Dronova,0,0,0,0
AIN,Tatsiana Klimovich,0,0,0,0
AIN,Uladzislau Kravets,0,0,0,0
AIN,Viyaleta Bardzilouskaya,1,0,1,0
AIN,Yauheni Tsikhantsou,1,0,0,1
AIN,Yauheni Zalaty,1,0,1,0
AIN,Yuliya Trushkina,0,0,0,0
AIN,Zakhar Petrov,0,0,0,0
ALB,Briken Calja,0,0,0,0
ALB,Chermen Valiev,1,0,0,1
ALB,Erkand Qerimaj,0,0,0,0
ALB,Franko Burraj,0,0,0,0
ALB,Grisi Koxhaku,0,0,0,0
ALB,Indrit Cullhaj,0,0,0,0
ALB,Islam Dudaev,1,0,0,1
ALB,Izmir Smajlaj,0,0,0,0
ALB,Kaltra Meca,0,0,0,0
ALB,Kledi Kadiu,0,0,0,0
ALB,Luiza Gega,0,0,0,0
ALB,Manjola Konini,0,0,0,0
ALB,Manuela Delilaj,0,0,0,0
ALB,Matvei Petrov,0,0,0,0
ALB,Nikol Merizaj,0,0,0,0
ALB,Zelimkhan Abakarov,0,0,0,0
ALG,Abdelhafid Benchabla,0,0,0,0
ALG,Abdelhak Kherbache,0,0,0,0
ALG,Abdelkarim Fergat,0,0,0,0
ALG,Abdelmalek Merabet,0,0,0,0
ALG,Abdelmalik Lahoulou,0,0,0,0
ALG,Adem Boudjemline,0,0,0,0
ALG,Akram Bounabi,0,0,0,0
ALG,Ali Boudina,0,0,0,0
ALG,Ali Gouaned,0,0,0,0
ALG,Amel Melih,0,0,0,0
ALG,Amina Belkadi,0,0,0,0
ALG,Amine Bouanani,0,0,0,0
ALG,Amira Kheris,0,0,0,0
ALG,Azzedine Lagab,0,0,0,0
ALG,Bachir Sid,0,0,0,0
ALG,Bilal Tabti,0,0,0,0
