Variable,Coefficient,P-value
Intercept,1.64879E+11,0.953224376
C(NOC)[T.AHO],6.595195136,0.071587037
C(NOC)[T.AIN],0.028078275,0.993853483
C(NOC)[T.ALB],-3.984839593,0.275060261
C(NOC)[T.ALG],1.64677404,0.484241599
C(NOC)[T.ANZ],25.52512809,2.43E-17
C(NOC)[T.ARG],24.2887663,3.11E-28
C(NOC)[T.ARM],1.236272065,0.603943184
C(NOC)[T.AUS],59.06020584,6.36E-161
C(NOC)[T.AUT],17.48879682,1.19E-15
C(NOC)[T.AZE],5.18331997,0.027388195
C(NOC)[T.BAH],7.210229042,0.001738162
C(NOC)[T.BAR],-0.080214119,0.982453446
C(NOC)[T.BDI],0.668132384,0.822422961
C(NOC)[T.BEL],21.57737969,4.18E-23
C(NOC)[T.BER],2.882177688,0.333745069
C(NOC)[T.BLR],17.63120544,1.49E-13
C(NOC)[T.BOH],22.81561083,3.02E-14
C(NOC)[T.BOT],0.572556344,0.832900869
C(NOC)[T.BRA],29.10784415,7.45E-40
C(NOC)[T.BRN],-1.370623789,0.594738576
C(NOC)[T.BUL],25.49393395,1.49E-30
C(NOC)[T.BUR],-4.590182963,0.207884364
C(NOC)[T.CAN],36.8832452,4.39E-64
C(NOC)[T.CHI],11.13950292,2.22E-06
C(NOC)[T.CHN],101.9657143,0
C(NOC)[T.CIV],-2.062964367,0.423730193
C(NOC)[T.CMR],6.752687769,0.006644587
C(NOC)[T.COL],5.309858483,0.019427796
C(NOC)[T.CPV],-4.976277299,0.172225051
C(NOC)[T.CRC],3.015982507,0.267446916
C(NOC)[T.CRO],17.32449883,9.07E-14
C(NOC)[T.CUB],31.47630906,2.18E-45
C(NOC)[T.CYP],-2.341511329,0.430336141
C(NOC)[T.CZE],9.560934608,4.67E-05
C(NOC)[T.DEN],31.22854828,1.34E-46
C(NOC)[T.DJI],6.591570884,0.071607809
C(NOC)[T.DMA],-4.978251221,0.172142344
C(NOC)[T.DOM],3.649014817,0.125370289
C(NOC)[T.ECU],-0.335325913,0.896296088
C(NOC)[T.EGY],7.487287034,0.001056142
C(NOC)[T.EOR],-4.978736612,0.172127609
C(NOC)[T.ERI],-0.192823142,0.957846673
C(NOC)[T.ESP],31.60283171,1.30E-46
C(NOC)[T.EST],6.359930603,0.005414679
C(NOC)[T.ETH],7.956120002,0.000403762
C(NOC)[T.EUN],223.4507423,0
C(NOC)[T.FIJ],13.41202747,8.05E-07
C(NOC)[T.FIN],22.28146695,2.14E-24
C(NOC)[T.FRA],64.20541603,1.72E-190
