Name,NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals
Kimia Yousofi,AFG,Athletics,0,0,1,0,0
Kimia Yousofi,AFG,Athletics,0,0,2,0,0
Mahmood Noor,AFG,Athletics,0,0,1,0,0
Mahmood Noor,AFG,Athletics,0,0,2,0,0
Fariba Hashimi,AFG,Cycling Road,0,0,1,0,0
Yulduz Hashimi,AFG,Cycling Road,0,0,2,0,0
Samim Faizad,AFG,Judo,0,0,1,0,0
Mahdi Yovari,AFG,Shooting,0,0,1,0,0
Mahdi Yovari,AFG,Shooting,0,0,1,0,0
Fahim Anwari,AFG,Swimming,0,0,1,0,0
Fahim Anwari,AFG,Swimming,0,0,2,0,0
Farzad Mansouri,AFG,Taekwondo,0,0,1,0,0
Farzad Mansouri,AFG,Taekwondo,0,0,1,0,0
Churandy Martina,AHO,Athletics,0,0,3,0,0
Churandy Martina,AHO,Athletics,0,0,3,0,0
Philip Elhage,AHO,Shooting,0,0,1,0,0
Philip Elhage,AHO,Shooting,0,0,1,0,0
Alexey Korovashkov,AIN,Canoe Sprint,0,0,1,0,0
Olesia Romasenko,AIN,Canoe Sprint,0,0,1,0,0
Uladzislau Kravets,AIN,Canoe Sprint,0,0,1,0,0
Yuliya Trushkina,AIN,Canoe Sprint,0,0,1,0,0
Zakhar Petrov,AIN,Canoe Sprint,0,0,2,0,0
Alena Ivanchenko,AIN,Cycling Road,0,0,1,0,0
Gleb Syritsa,AIN,Cycling Road,0,0,2,0,0
Hanna Tserakh,AIN,Cycling Road,0,0,2,0,0
Tamara Dronova,AIN,Cycling Road,0,0,2,0,0
Tatsiana Klimovich,AIN,Rowing,0,0,1,0,0
Yauheni Zalaty,AIN,Rowing,0,0,0,1,1
Alina Zmushka,AIN,Swimming,0,0,2,0,0
Anastasiya Shkurdai,AIN,Swimming,0,0,2,0,0
Evgenii Somov,AIN,Swimming,0,0,2,0,0
Ilya Shymanovich,AIN,Swimming,0,0,1,0,0
Georgiy Gurtsiev,AIN,Taekwondo,0,0,1,0,0
Daniil Medvedev,AIN,Tennis,0,0,3,0,0
Diana Shnaider,AIN,Tennis,0,0,1,1,1
Ekaterina Alexandrova,AIN,Tennis,0,0,2,0,0
Elena Vesnina,AIN,Tennis,0,0,1,0,0
Mirra Andreeva,AIN,Tennis,0,0,2,1,1
Pavel Kotov,AIN,Tennis,0,0,1,0,0
Roman Safiullin,AIN,Tennis,0,0,2,0,0
Anzhela Bladtceva,AIN,Trampoline Gymnastics,0,0,1,0,0
Ivan Litvinovich,AIN,Trampoline Gymnastics,0,1,0,0,1
Viyaleta Bardzilouskaya,AIN,Trampoline Gymnastics,0,0,0,1,1
Siuzanna Valodzka,AIN,Weightlifting,0,0,1,0,0
Yauheni Tsikhantsou,AIN,Weightlifting,1,0,0,0,1
Abubakar Khaslakhanau,AIN,Wrestling,0,0,1,0,0
Mahamedkhabib Kadzimahamedau,AIN,Wrestling,0,0,1,0,0
Matvei Petrov,ALB,Artistic Gymnastics,0,0,1,0,0
Matvei Petrov,ALB,Artistic Gymnastics,0,0,1,0,0
Franko Burraj,ALB,Athletics,0,0,1,0,0
Izmir Smajlaj,ALB,Athletics,0,0,2,0,0
Izmir Smajlaj,ALB,Athletics,0,0,2,0,0
Luiza Gega,ALB,Athletics,0,0,2,0,0
Luiza Gega,ALB,Athletics,0,0,3,0,0
Indrit Cullhaj,ALB,Judo,0,0,1,0,0
Indrit Cullhaj,ALB,Judo,0,0,1,0,0
Majlinda Kelmendi,ALB,Judo,0,0,1,0,0
Majlinda Kelmendi,ALB,Judo,0,0,1,0,0
Manuela Delilaj,ALB,Shooting,0,0,2,0,0
Manuela Delilaj,ALB,Shooting,0,0,2,0,0
Kaltra Meca,ALB,Swimming,0,0,1,0,0
Kledi Kadiu,ALB,Swimming,0,0,1,0,0
Kledi Kadiu,ALB,Swimming,0,0,1,0,0
Nikol Merizaj,ALB,Swimming,0,0,2,0,0
Nikol Merizaj,ALB,Swimming,0,0,2,0,0
Briken Calja,ALB,Weightlifting,0,0,3,0,0
Briken Calja,ALB,Weightlifting,0,0,3,0,0
Erkand Qerimaj,ALB,Weightlifting,0,0,2,0,0
Erkand Qerimaj,ALB,Weightlifting,0,0,2,0,0
Chermen Valiev,ALB,Wrestling,1,0,0,0,1
Islam Dudaev,ALB,Wrestling,1,0,0,0,1
Zelimkhan Abakarov,ALB,Wrestling,0,0,1,0,0
Kaylia Nemour,ALG,Artistic Gymnastics,0,1,5,0,1
Abdelmalik Lahoulou,ALG,Athletics,0,0,2,0,0
Abdelmalik Lahoulou,ALG,Athletics,0,0,2,0,0
Ali Gouaned,ALG,Athletics,0,0,1,0,0
Amine Bouanani,ALG,Athletics,0,0,1,0,0
Bilal Tabti,ALG,Athletics,0,0,1,0,0
Bilal Tabti,ALG,Athletics,0,0,2,0,0
Djamel Sedjati,ALG,Athletics,1,0,0,0,1
Hichem Bouchicha,ALG,Athletics,0,0,1,0,0
Hichem Bouchicha,ALG,Athletics,0,0,1,0,0
Loubna Benhadja,ALG,Athletics,0,0,1,0,0
Loubna Benhadja,ALG,Athletics,0,0,1,0,0
Mohamed Triki,ALG,Athletics,0,0,1,0,0
Mohamed Triki,ALG,Athletics,0,0,1,0,0
Mohammed Triki,ALG,Athletics,0,0,1,0,0
Oussama Khennoussi,ALG,Athletics,0,0,1,0,0
Slimane Moula,ALG,Athletics,0,0,1,0,0
Yassine Hethat,ALG,Athletics,0,0,2,0,0
Yassine Hethat,ALG,Athletics,0,0,2,0,0
Zahra Tatar,ALG,Athletics,0,0,1,0,0
Koceila Mammeri,ALG,Badminton,0,0,1,0,0
Violette Mammeri,ALG,Badminton,0,0,1,0,0
Abdelhafid Benchabla,ALG,Boxing,0,0,4,0,0
Abdelhafid Benchabla,ALG,Boxing,0,0,4,0,0
Chouaib Bouloudinats,ALG,Boxing,0,0,3,0,0
Chouaib Bouloudinats,ALG,Boxing,0,0,3,0,0
Ichrak Chaib,ALG,Boxing,0,0,1,0,0
Ichrak Chaib,ALG,Boxing,0,0,1,0,0
Imane Khelif,ALG,Boxing,0,0,1,0,0
Imane Khelif,ALG,Boxing,0,1,1,0,1
Jugurtha Ait,ALG,Boxing,0,0,1,0,0
Mohamed Flissi,ALG,Boxing,0,0,3,0,0
Mohamed Flissi,ALG,Boxing,0,0,3,0,0
Mohammed Houmri,ALG,Boxing,0,0,1,0,0
Mohammed Houmri,ALG,Boxing,0,0,1,0,0
Mourad Kadi,ALG,Boxing,0,0,1,0,0
Roumaysa Boualam,ALG,Boxing,0,0,1,0,0
Roumaysa Boualam,ALG,Boxing,0,0,2,0,0
Younes Nemouchi,ALG,Boxing,0,0,1,0,0
Younes Nemouchi,ALG,Boxing,0,0,1,0,0
Diana Bouzidi,ALG,Canoe Slalom,0,0,2,0,0
Amira Kheris,ALG,Canoe Sprint,0,0,2,0,0
Amira Kheris,ALG,Canoe Sprint,0,0,2,0,0
Azzedine Lagab,ALG,Cycling Road,0,0,2,0,0
Azzedine Lagab,ALG,Cycling Road,0,0,2,0,0
Hamza Mansouri,ALG,Cycling Road,0,0,1,0,0
Hamza Mansouri,ALG,Cycling Road,0,0,1,0,0
Nesrine Houili,ALG,Cycling Road,0,0,1,0,0
Yacine Hamza,ALG,Cycling Road,0,0,1,0,0
Akram Bounabi,ALG,Fencing,0,0,1,0,0
Akram Bounabi,ALG,Fencing,0,0,1,0,0
