Year,NOC,Sport,Name,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals
1900,GBR,Golf,David Robertson,1,0,0,0,1
1900,GBR,Golf,David Robertson,1,0,0,0,1
1904,USA,Archery,Thomas Scott,0,0,2,0,0
1904,USA,Archery,Thomas Scott,0,0,2,0,0
1904,USA,Gymnastics,Max Hess,0,1,3,0,1
1904,USA,Gymnastics,Max Hess,0,1,3,0,1
1904,USA,Roque,Charles Brown,1,0,0,0,1
1904,USA,Roque,Charles Brown,1,0,0,0,1
1908,CAN,Tennis,Charles Brown,0,0,1,0,0
1908,CAN,Tennis,Charles Brown,0,0,1,0,0
1908,GBR,Athletics,James Beale,0,0,1,0,0
1908,GBR,Athletics,James Beale,0,0,1,0,0
1908,GBR,Cycling,David Robertson,0,0,2,0,0
1908,GBR,Cycling,David Robertson,0,0,2,0,0
1908,GBR,Water Polo,Charles Smith,0,1,0,0,1
1908,GBR,Water Polo,Charles Smith,0,1,0,0,1
1908,GBR,Wrestling,Charles Brown,0,0,2,0,0
1908,GBR,Wrestling,Charles Brown,0,0,2,0,0
1912,FIN,Shooting,Emil Holm,0,0,2,0,0
1912,FIN,Shooting,Emil Holm,0,0,2,0,0
1912,GBR,Athletics,James Beale,0,0,1,0,0
1912,GBR,Athletics,James Beale,0,0,1,0,0
1912,GBR,Water Polo,Charles Smith,0,1,0,0,1
1912,GBR,Water Polo,Charles Smith,0,1,0,0,1
1912,RUS,Football,Mikhail Yakovlev,0,0,1,0,0
1912,RUS,Football,Mikhail Yakovlev,0,0,1,0,0
1920,GBR,Water Polo,Charles Smith,0,1,0,0,1
1920,GBR,Water Polo,Charles Smith,0,1,0,0,1
1920,RSA,Shooting,David Smith,0,0,4,1,1
1920,RSA,Shooting,David Smith,0,0,4,1,1
1920,USA,Athletics,Donald Scott,0,0,1,0,0
1920,USA,Athletics,Donald Scott,0,0,1,0,0
1920,USA,Cycling,James Freeman,0,0,2,0,0
1920,USA,Cycling,James Freeman,0,0,2,0,0
1924,GBR,Athletics,Eric Harrison,0,0,1,0,0
1924,GBR,Athletics,Eric Harrison,0,0,1,0,0
1924,GBR,Cycling,Andrew Wilson,0,0,2,0,0
1924,GBR,Cycling,Andrew Wilson,0,0,2,0,0
1924,GBR,Water Polo,Charles Smith,0,0,1,0,0
1924,GBR,Water Polo,Charles Smith,0,0,1,0,0
1924,IND,Athletics,James Hall,0,0,2,0,0
1924,IND,Athletics,James Hall,0,0,2,0,0
1924,ROU,Football,Attila Molnar,0,0,1,0,0
1924,ROU,Football,Attila Molnar,0,0,1,0,0
1924,RSA,Shooting,David Smith,0,0,2,0,0
1924,RSA,Shooting,David Smith,0,0,2,0,0
1924,USA,Modern Pentathlon,Donald Scott,0,0,1,0,0
1924,USA,Modern Pentathlon,Donald Scott,0,0,1,0,0
1928,IND,Athletics,James Hall,0,0,2,0,0
1928,IND,Athletics,James Hall,0,0,2,0,0
1928,SUI,Wrestling,Max Studer,0,0,1,0,0
1928,SUI,Wrestling,Max Studer,0,0,1,0,0
1928,USA,Athletics,Robert King,0,1,0,0,1
1928,USA,Athletics,Robert King,0,1,0,0,1
1928,USA,Swimming,David Young,0,1,0,0,1
1928,USA,Swimming,David Young,0,1,0,0,1
1932,CAN,Athletics,James Brown,0,0,1,0,0
1932,CAN,Athletics,James Brown,0,0,1,0,0
1932,GBR,Athletics,Thomas Green,0,1,0,0,1
1932,GBR,Athletics,Thomas Green,0,1,0,0,1
1932,JPN,Wrestling,Shuichi Yoshida,0,0,1,0,0
1932,JPN,Wrestling,Shuichi Yoshida,0,0,1,0,0
1932,USA,Sailing,Charles Smith,0,0,0,1,1
1932,USA,Sailing,Charles Smith,0,0,0,1,1
1936,ITA,Fencing,Aldo Montano,0,0,0,1,1
1936,ITA,Fencing,Aldo Montano,0,0,0,1,1
1936,SWE,Football,Erik Persson,0,0,1,0,0
1936,SWE,Football,Erik Persson,0,0,1,0,0
1948,EGY,Gymnastics,Ahmed Ali,0,0,8,0,0
1948,EGY,Gymnastics,Ahmed Ali,0,0,8,0,0
1948,EGY,Gymnastics,Mohamed Aly,0,0,8,0,0
1948,EGY,Gymnastics,Mohamed Aly,0,0,8,0,0
1948,EGY,Swimming,Mohamed Khalifa,0,0,1,0,0
1948,EGY,Swimming,Mohamed Khalifa,0,0,1,0,0
1948,EGY,Water Polo,Mohamed Khalifa,0,0,1,0,0
1948,EGY,Water Polo,Mohamed Khalifa,0,0,1,0,0
1948,GBR,Athletics,James Peters,0,0,1,0,0
