NOC,Sport,Gold_Medals,Silver_Medals,Bronze_Medals,No_Medals,Total_Medals,Country_Event_Participation,Event_Total_Participation
AFG,Athletics,0,0,0,26,0,26,43294
AFG,Boxing,0,0,0,5,0,5,6584
AFG,Cycling Road,0,0,0,3,0,3,493
AFG,Football,0,0,0,11,0,11,7906
AFG,Hockey,0,0,0,39,0,39,6264
AFG,Judo,0,0,0,4,0,4,4876
AFG,Shooting,0,0,0,1,0,1,12580
AFG,Swimming,0,0,0,2,0,2,26416
AFG,Taekwondo,0,0,2,3,2,5,870
AFG,Wrestling,0,0,0,42,0,42,7734
AHO,Athletics,0,0,0,14,0,14,43294
AHO,Equestrianism,0,0,0,2,0,2,6344
AHO,Fencing,0,0,0,4,0,4,11558
AHO,Football,0,0,0,11,0,11,7906
AHO,Judo,0,0,0,3,0,3,4876
AHO,Sailing,0,1,0,5,1,6,7266
AHO,Shooting,0,0,0,7,0,7,12580
AHO,Swimming,0,0,0,11,0,11,26416
AHO,Synchronized Swimming,0,0,0,4,0,4,909
AHO,Triathlon,0,0,0,1,0,1,822
AHO,Weightlifting,0,0,0,11,0,11,4256
AIN,Canoe Sprint,0,0,0,6,0,6,756
AIN,Cycling Road,0,0,0,7,0,7,493
AIN,Rowing,0,1,0,1,1,2,11625
AIN,Shooting,0,0,0,2,0,2,12580
AIN,Swimming,0,0,0,7,0,7,26416
AIN,Taekwondo,0,0,0,1,0,1,870
AIN,Tennis,0,2,0,12,2,14,3446
AIN,Trampoline Gymnastics,1,1,0,1,2,3,64
AIN,Weightlifting,0,0,1,1,1,2,4256
AIN,Wrestling,0,0,0,2,0,2,7734
ALB,Artistic Gymnastics,0,0,0,1,0,1,2297
ALB,Athletics,0,0,0,16,0,16,43294
ALB,Cycling,0,0,0,1,0,1,10859
ALB,Judo,0,0,0,3,0,3,4876
ALB,Shooting,0,0,0,20,0,20,12580
ALB,Swimming,0,0,0,15,0,15,26416
ALB,Weightlifting,0,0,0,19,0,19,4256
ALB,Wrestling,0,0,2,5,2,7,7734
ALG,Artistic Gymnastics,1,0,0,5,1,6,2297
ALG,Athletics,4,3,3,142,10,152,43294
ALG,Badminton,0,0,0,3,0,3,1816
ALG,Boxing,2,0,5,75,7,82,6584
ALG,Canoe Slalom,0,0,0,2,0,2,256
ALG,Canoe Sprint,0,0,0,2,0,2,756
ALG,Cycling,0,0,0,6,0,6,10859
ALG,Cycling Road,0,0,0,5,0,5,493
ALG,Fencing,0,0,0,33,0,33,11558
ALG,Football,0,0,0,32,0,32,7906
ALG,Gymnastics,0,0,0,24,0,24,26707
