NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count
AFG,Athletics,0,0,24,0,0,24
AFG,Boxing,0,0,5,0,0,5
AFG,Football,0,0,11,0,0,11
AFG,Hockey,0,0,39,0,0,39
AFG,Judo,0,0,3,0,0,3
AFG,Shooting,0,0,1,0,0,1
AFG,Swimming,0,0,1,0,0,1
AFG,Taekwondo,2,0,3,0,2,5
AFG,Wrestling,0,0,42,0,0,42
AHO,Athletics,0,0,14,0,0,14
AHO,Equestrianism,0,0,2,0,0,2
AHO,Fencing,0,0,4,0,0,4
AHO,Football,0,0,11,0,0,11
AHO,Judo,0,0,3,0,0,3
AHO,Sailing,0,0,5,1,1,6
AHO,Shooting,0,0,7,0,0,7
AHO,Swimming,0,0,11,0,0,11
AHO,Synchronized Swimming,0,0,4,0,0,4
AHO,Triathlon,0,0,1,0,0,1
AHO,Weightlifting,0,0,11,0,0,11
ALB,Artistic Gymnastics,0,0,1,0,0,1
ALB,Athletics,0,0,14,0,0,14
ALB,Cycling,0,0,1,0,0,1
ALB,Judo,0,0,3,0,0,3
ALB,Shooting,0,0,18,0,0,18
ALB,Swimming,0,0,13,0,0,13
ALB,Weightlifting,0,0,19,0,0,19
ALB,Wrestling,0,0,4,0,0,4
ALG,Athletics,2,4,135,3,9,144
ALG,Badminton,0,0,1,0,0,1
ALG,Boxing,5,1,71,0,6,77
ALG,Canoe Sprint,0,0,2,0,0,2
ALG,Cycling,0,0,6,0,0,6
ALG,Cycling Road,0,0,3,0,0,3
ALG,Fencing,0,0,25,0,0,25
ALG,Football,0,0,32,0,0,32
ALG,Gymnastics,0,0,24,0,0,24
ALG,Handball,0,0,59,0,0,59
ALG,Judo,1,0,52,1,2,54
ALG,Karate,0,0,1,0,0,1
ALG,Marathon Swimming,0,0,1,0,0,1
ALG,Rowing,0,0,12,0,0,12
ALG,Sailing,0,0,5,0,0,5
ALG,Shooting,0,0,3,0,0,3
ALG,Swimming,0,0,42,0,0,42
ALG,Table Tennis,0,0,11,0,0,11
ALG,Taekwondo,0,0,1,0,0,1
ALG,Tennis,0,0,2,0,0,2
ALG,Trampolining,0,0,1,0,0,1
ALG,Volleyball,0,0,31,0,0,31
ALG,Weightlifting,0,0,20,0,0,20
ALG,Wrestling,0,0,27,0,0,27
AND,Athletics,0,0,14,0,0,14
AND,Boxing,0,0,1,0,0,1
AND,Canoe Slalom,0,0,2,0,0,2
AND,Canoeing,0,0,1,0,0,1
AND,Cycling,0,0,5,0,0,5
AND,Judo,0,0,6,0,0,6
AND,Sailing,0,0,5,0,0,5
AND,Shooting,0,0,12,0,0,12
AND,Swimming,0,0,10,0,0,10
ANG,Athletics,0,0,30,0,0,30
ANG,Basketball,0,0,71,0,0,71
ANG,Beach Volleyball,0,0,2,0,0,2
ANG,Boxing,0,0,7,0,0,7
ANG,Canoeing,0,0,6,0,0,6
ANG,Handball,0,0,98,0,0,98
ANG,Judo,0,0,15,0,0,15
ANG,Rowing,0,0,2,0,0,2
ANG,Sailing,0,0,8,0,0,8
ANG,Shooting,0,0,3,0,0,3
ANG,Swimming,0,0,45,0,0,45
ANT,Athletics,0,0,98,0,0,98
ANT,Boxing,0,0,3,0,0,3
ANT,Canoeing,0,0,3,0,0,3
ANT,Cycling,0,0,17,0,0,17
ANT,Sailing,0,0,10,0,0,10
ANT,Swimming,0,0,8,0,0,8
ANZ,Athletics,1,0,21,0,1,22
ANZ,Boxing,0,0,0,1,1,1
ANZ,Diving,0,0,1,0,0,1
ANZ,Rowing,0,0,10,0,0,10
ANZ,Rugby,0,15,0,0,15,15
ANZ,Shooting,0,0,3,0,0,3
ANZ,Swimming,3,5,22,3,11,33
ANZ,Tennis,1,0,0,0,1,1
ARG,Archery,0,0,2,0,0,2
ARG,Art Competitions,0,0,2,0,0,2
ARG,Artistic Gymnastics,0,0,5,0,0,5
ARG,Athletics,0,2,247,3,5,252
ARG,Basketball,12,12,76,0,24,100
ARG,Beach Volleyball,0,0,18,0,0,18
