NOC,Gold,Silver,Bronze,Total
USA,178,102,98,378
GBR,70,67,90,227
FRA,90,89,36,215
GER,44,61,83,188
CHN,71,68,46,185
JPN,46,56,44,146
AUS,47,43,52,142
ITA,37,35,50,122
CAN,40,22,46,108
NED,51,26,30,107
BRA,33,24,32,89
KOR,25,21,39,85
ESP,22,30,32,84
NZL,30,27,22,79
DEN,15,20,17,52
HUN,15,13,24,52
SRB,15,5,32,52
ARG,5,15,27,47
POL,8,10,16,34
NOR,13,4,15,32
ISR,7,6,15,28
UKR,2,8,16,26
GRE,5,10,9,24
FIJ,9,8,6,23
SUI,4,8,11,23
IND,1,2,20,23
BEL,11,6,5,22
CRO,6,9,5,20
RSA,3,6,11,20
IRI,7,7,5,19
TUR,3,4,12,19
JAM,7,6,4,17
MAR,2,0,15,17
SWE,4,11,1,16
UZB,10,0,5,15
ROU,7,6,2,15
GEO,5,5,5,15
CZE,5,6,3,14
AUT,2,2,10,14
BUL,8,1,4,13
SLO,5,3,5,13
TPE,4,5,4,13
KAZ,0,4,9,13
CUB,8,2,2,12
AZE,3,5,4,12
INA,4,2,5,11
KEN,4,3,3,10
IRL,3,2,5,10
THA,1,4,5,10
COL,0,6,4,10
LTU,0,2,8,10
JOR,0,9,0,9
MAS,0,3,6,9
POR,3,3,2,8
PHI,2,4,2,8
ARM,1,2,5,8
DOM,0,4,4,8
PRK,0,3,5,8
BOT,2,2,2,6
ECU,3,2,0,5
TUN,3,2,0,5
ETH,2,2,1,5
HKG,1,1,3,5
MGL,0,2,3,5
MEX,0,1,4,5
GRN,2,1,1,4
UGA,2,1,1,4
LAT,2,0,2,4
QAT,2,0,2,4
AIN,0,4,0,4
KGZ,0,3,1,4
BRN,2,1,0,3
ALG,2,0,1,3
KOS,2,0,1,3
EGY,0,2,1,3
LCA,1,1,0,2
VEN,1,1,0,2
BAH,1,0,1,2
EST,1,0,1,2
PUR,1,0,1,2
SGP,1,0,1,2
TTO,1,0,1,2
SVK,0,2,0,2
NGR,0,1,1,2
SMR,0,1,1,2
ALB,0,0,2,2
MDA,0,0,2,2
SYR,0,0,2,2
BDI,0,1,0,1
CYP,0,1,0,1
MKD,0,1,0,1
NAM,0,1,0,1
TKM,0,1,0,1
BUR,0,0,1,1
CIV,0,0,1,1
CPV,0,0,1,1
EOR,0,0,1,1
FIN,0,0,1,1
TJK,0,0,1,1
ZAM,0,0,1,1
AFG,0,0,0,0
AND,0,0,0,0
ANG,0,0,1,1
ANT,0,0,1,1
ARU,0,0,0,0
ASA,0,0,0,0
BAN,0,0,0,0
BAR,0,0,0,0
BEN,0,0,0,0
BER,0,0,0,0
BHU,0,0,0,0
BIH,0,0,0,0
BIZ,0,0,0,0
BOL,0,0,1,1
BRU,0,0,0,0
CAF,0,0,0,0
CAM,0,0,0,0
CAY,0,0,0,0
CGO,0,0,0,0
CHA,0,0,0,0
CHI,0,0,0,0
CMR,0,0,0,0
COD,0,0,0,0
COK,0,0,0,0
COM,0,0,0,0
CRC,0,0,0,0
DJI,0,0,0,0
DMA,0,0,0,0
ERI,0,0,0,0
ESA,0,0,1,1
FSM,0,0,0,0
GAB,0,0,0,0
GAM,0,0,0,0
GBS,0,0,0,0
GEQ,0,0,0,0
GHA,0,0,0,0
GUA,0,0,0,0
GUI,0,0,0,0
GUM,0,0,0,0
GUY,0,0,0,0
HAI,0,0,0,0
HON,0,0,1,1
IRQ,0,0,0,0
ISL,0,0,0,0
ISV,0,0,0,0
IVB,0,0,0,0
KIR,0,0,0,0
KSA,0,0,0,0
KUW,0,0,0,0
LAO,0,0,0,0
LBA,0,0,0,0
LBN,0,0,0,0
LBR,0,0,0,0
LES,0,0,0,0
LIE,0,0,1,1
LUX,0,0,0,0
MAD,0,0,1,1
MAW,0,0,0,0
MDV,0,0,0,0
MHL,0,0,0,0
MLI,0,0,1,1
MLT,0,0,1,1
MNE,0,0,0,0
MON,0,0,0,0
MOZ,0,0,0,0
MRI,0,0,0,0
MTN,0,0,0,0
MYA,0,0,1,1
NCA,0,0,1,1
NEP,0,0,0,0
NIG,0,0,0,0
NRU,0,0,0,0
OMA,0,0,0,0
PAK,0,0,0,0
PAN,0,0,0,0
PAR,0,0,0,0
PER,0,0,0,0
PLE,0,0,0,0
PLW,0,0,0,0
PNG,0,0,0,0
RWA,0,0,0,0
SAM,0,0,0,0
SEN,0,0,0,0
SEY,0,0,0,0
SKN,0,0,0,0
SLE,0,0,1,1
SOL,0,0,0,0
SOM,0,0,0,0
SRI,0,0,0,0
SSD,0,0,0,0
STP,0,0,0,0
SUD,0,0,0,0
SUR,0,0,0,0
SWZ,0,0,0,0
TAN,0,0,0,0
TGA,0,0,0,0
TLS,0,0,0,0
TOG,0,0,0,0
TUV,0,0,0,0
UAE,0,0,0,0
URU,0,0,0,0
VAN,0,0,0,0
VIE,0,0,0,0
VIN,0,0,0,0
YEM,0,0,0,0
ZIM,0,0,0,0
