NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,TOPSIS_Score_Sum,Host,Sport_topsis_score,Unnamed: 10,Unnamed: 11,TOPSIS_Product
AFG,Athletics,0,0,2,0,0,1e-10,0,0.043927631,,,4.3927631e-12
AFG,Cycling Road,0,0,3,0,0,1e-10,0,1e-10,, ,1.0000000000000001e-20
AFG,Judo,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AFG,Swimming,0,0,1,0,0,1e-10,0,0.001819792,,,1.8197920000000002e-13
AIN,Canoe Sprint,0,0,6,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Cycling Road,0,0,7,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Rowing,0,0,1,1,1,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Shooting,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Swimming,0,0,7,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Taekwondo,0,0,1,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Tennis,0,0,12,2,2,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Trampoline Gymnastics,0,1,1,1,2,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Weightlifting,1,0,1,0,1,1e-10,0,1e-10,,,1.0000000000000001e-20
AIN,Wrestling,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ALB,Athletics,0,0,2,0,0,0.002250696,0,0.03229282,,,7.268132080271999e-05
ALB,Shooting,0,0,2,0,0,0.001125348,0,0.052938235,,,5.957393688078e-05
ALB,Swimming,0,0,2,0,0,0.001125348,0,0.03167941,,,3.565036068468e-05
ALB,Wrestling,2,0,1,0,2,1e-10,0,1e-10,,,1.0000000000000001e-20
ALG,Artistic Gymnastics,0,1,5,0,1,1e-10,0,1e-10,,,1.0000000000000001e-20
ALG,Athletics,1,0,7,0,1,0.002250696,0,0.610245783,,,0.0013734777428149679
ALG,Badminton,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ALG,Boxing,0,1,4,0,1,0.007865081,0,0.457064907,,,0.003594852515812467
ALG,Canoe Slalom,0,0,2,0,0,1e-10,0,1e-10,,,1.0000000000000001e-20
ALG,Cycling Road,0,0,2,0,0,0.001125348,0,0.016826317,,,1.8935462183316e-05
ALG,Fencing,0,0,8,0,0,1e-10,0,0.017970243,,,1.7970243e-12
