NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,TOPSIS_Score_Sum,Host,Sport_topsis_score,Unnamed: 10,Unnamed: 11,Historical_Bronze,Historical_Gold,Historical_No_Medal,Historical_Silver
AFG,Athletics,0,0,2,0,0,0.0,0,0.043927631,,,0,0,26,0
AFG,Cycling Road,0,0,3,0,0,0.0,0,0.0,, ,0,0,3,0
AFG,Judo,0,0,1,0,0,0.0,0,0.0,,,0,0,4,0
AFG,Swimming,0,0,1,0,0,0.0,0,0.001819792,,,0,0,2,0
AIN,Canoe Sprint,0,0,6,0,0,0.0,0,0.0,,,0,0,6,0
AIN,Cycling Road,0,0,7,0,0,0.0,0,0.0,,,0,0,7,0
AIN,Rowing,0,0,1,1,1,0.0,0,0.0,,,0,0,1,1
AIN,Shooting,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
AIN,Swimming,0,0,7,0,0,0.0,0,0.0,,,0,0,7,0
AIN,Taekwondo,0,0,1,0,0,0.0,0,0.0,,,0,0,1,0
AIN,Tennis,0,0,12,2,2,0.0,0,0.0,,,0,0,12,2
AIN,Trampoline Gymnastics,0,1,1,1,2,0.0,0,0.0,,,0,1,1,1
AIN,Weightlifting,1,0,1,0,1,0.0,0,0.0,,,1,0,1,0
AIN,Wrestling,0,0,2,0,0,0.0,0,0.0,,,0,0,2,0
ALB,Athletics,0,0,2,0,0,0.002250696,0,0.03229282,,,0,0,16,0
ALB,Shooting,0,0,2,0,0,0.001125348,0,0.052938235,,,0,0,20,0
ALB,Swimming,0,0,2,0,0,0.001125348,0,0.03167941,,,0,0,15,0
ALB,Wrestling,2,0,1,0,2,0.0,0,0.0,,,2,0,5,0
ALG,Artistic Gymnastics,0,1,5,0,1,0.0,0,0.0,,,0,1,5,0
ALG,Athletics,1,0,7,0,1,0.002250696,0,0.610245783,,,3,4,142,3
ALG,Badminton,0,0,2,0,0,0.0,0,0.0,,,0,0,3,0
