NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,TOPSIS_Score_Sum,Host,Sport_topsis_score,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Bronze,Total_Gold,Total_No_Medal,Total_Silver,Gold_Ratio,Silver_Ratio,Bronze_Ratio,No_Medal_Ratio
AFG,Athletics,0,0,2,0,0,0,0,0.043927631,0,0,0,1452,1500,38865,1477,0,0,0,5.15E-05
AFG,Cycling Road,0,0,3,0,0,0,0,0,,,,6,7,473,7,0,0,0,0.006342495
AFG,Judo,0,0,1,0,0,0,0,0,,,,374,190,4122,190,0,0,0,0.000242601
AFG,Swimming,0,0,1,0,0,0,0,0.001819792,0,0,0,1096,1241,22946,1133,0,0,0,4.36E-05
AIN,Canoe Sprint,0,0,6,0,0,0,0,0,,,,44,42,628,42,0,0,0,0.00955414
AIN,Cycling Road,0,0,7,0,0,0,0,0,,,,6,7,473,7,0,0,0,0.014799154
AIN,Rowing,0,0,1,1,1,0,0,0,,,,1086,1074,8392,1073,0,0.000931966,0,0.000119161
AIN,Shooting,0,0,2,0,0,0,0,0,,,,443,446,11244,447,0,0,0,0.000177873
AIN,Swimming,0,0,7,0,0,0,0,0,,,,1096,1241,22946,1133,0,0,0,0.000305064
AIN,Taekwondo,0,0,1,0,0,0,0,0,,,,96,56,662,56,0,0,0,0.001510574
AIN,Tennis,0,0,12,2,2,0,0,0,,,,144,122,3058,122,0,0.016393443,0,0.003924133
AIN,Trampoline Gymnastics,0,1,1,1,2,0,0,0,,,,4,4,52,4,0.25,0.25,0,0.019230769
AIN,Weightlifting,1,0,1,0,1,0,0,0,,,,240,241,3538,237,0,0,0.004166667,0.000282646
AIN,Wrestling,0,0,2,0,0,0,0,0,,,,540,449,6294,451,0,0,0,0.000317763
ALB,Athletics,0,0,2,0,0,0.002250696,0,0.03229282,0,0,0,1452,1500,38865,1477,0,0,0,5.15E-05
ALB,Shooting,0,0,2,0,0,0.001125348,0,0.052938235,0,0,0,443,446,11244,447,0,0,0,0.000177873
ALB,Swimming,0,0,2,0,0,0.001125348,0,0.03167941,0,0,0,1096,1241,22946,1133,0,0,0,8.72E-05
ALB,Wrestling,2,0,1,0,2,0,0,0,,,,540,449,6294,451,0,0,0.003703704,0.000158881
