NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total_Bronze,Total_Gold,Total_No_Medal,Total_Silver,Gold_Ratio,Silver_Ratio,Bronze_Ratio,No_Medal_Ratio
AFG,Athletics,0,0,24,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0006531856408023297
AFG,Boxing,0,0,5,0,467,265,5340,264,0.0,0.0,0.0,0.0009363295880149813
AFG,Football,0,0,11,0,587,559,5650,557,0.0,0.0,0.0,0.0019469026548672567
AFG,Hockey,0,0,39,0,548,554,4213,534,0.0,0.0,0.0,0.009257061476382625
AFG,Judo,0,0,3,0,325,162,3668,162,0.0,0.0,0.0,0.0008178844056706652
AFG,Shooting,0,0,1,0,425,428,10743,429,0.0,0.0,0.0,9.308386856557759e-05
AFG,Swimming,0,0,1,0,1027,1169,21573,1060,0.0,0.0,0.0,4.6354239095165254e-05
AFG,Taekwondo,2,0,3,0,80,48,560,48,0.0,0.0,0.025,0.005357142857142857
AFG,Wrestling,0,0,42,0,504,431,6075,433,0.0,0.0,0.0,0.006913580246913581
AHO,Athletics,0,0,14,0,1373,1422,36743,1404,0.0,0.0,0.0,0.00038102495713469235
AHO,Equestrianism,0,0,2,0,319,324,5379,322,0.0,0.0,0.0,0.0003718163227365681
AHO,Fencing,0,0,4,0,596,624,9321,613,0.0,0.0,0.0,0.000429138504452312
AHO,Football,0,0,11,0,587,559,5650,557,0.0,0.0,0.0,0.0019469026548672567
AHO,Judo,0,0,3,0,325,162,3668,162,0.0,0.0,0.0,0.0008178844056706652
AHO,Sailing,0,0,5,1,382,465,5659,430,0.0,0.002325581395348837,0.0,0.0008835483300936561
AHO,Shooting,0,0,7,0,425,428,10743,429,0.0,0.0,0.0,0.0006515870799590431
AHO,Swimming,0,0,11,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0005098966300468178
AHO,Synchronized Swimming,0,0,4,0,70,74,694,71,0.0,0.0,0.0,0.005763688760806916
AHO,Triathlon,0,0,1,0,17,17,660,17,0.0,0.0,0.0,0.0015151515151515152
AHO,Weightlifting,0,0,11,0,230,231,3446,227,0.0,0.0,0.0,0.003192106790481718
ALB,Artistic Gymnastics,0,0,1,0,21,20,1000,20,0.0,0.0,0.0,0.001
ALB,Athletics,0,0,14,0,1373,1422,36743,1404,0.0,0.0,0.0,0.00038102495713469235
ALB,Cycling,0,0,1,0,414,424,9596,425,0.0,0.0,0.0,0.00010421008753647353
ALB,Judo,0,0,3,0,325,162,3668,162,0.0,0.0,0.0,0.0008178844056706652
ALB,Shooting,0,0,18,0,425,428,10743,429,0.0,0.0,0.0,0.0016755096341803965
ALB,Swimming,0,0,13,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0006026051082371483
ALB,Weightlifting,0,0,19,0,230,231,3446,227,0.0,0.0,0.0,0.005513639001741149
ALB,Wrestling,0,0,4,0,504,431,6075,433,0.0,0.0,0.0,0.0006584362139917696
ALG,Athletics,2,4,135,3,1373,1422,36743,1404,0.0028129395218002813,0.002136752136752137,0.0014566642388929353,0.0036741692295131044
ALG,Badminton,0,0,1,0,68,62,1446,62,0.0,0.0,0.0,0.0006915629322268327
ALG,Boxing,5,1,71,0,467,265,5340,264,0.0037735849056603774,0.0,0.010706638115631691,0.013295880149812735
ALG,Canoe Sprint,0,0,2,0,22,22,346,22,0.0,0.0,0.0,0.005780346820809248
ALG,Cycling,0,0,6,0,414,424,9596,425,0.0,0.0,0.0,0.0006252605252188412
ALG,Cycling Road,0,0,3,0,4,4,247,4,0.0,0.0,0.0,0.012145748987854251
ALG,Fencing,0,0,25,0,596,624,9321,613,0.0,0.0,0.0,0.0026821156528269497
ALG,Football,0,0,32,0,587,559,5650,557,0.0,0.0,0.0,0.005663716814159292
ALG,Gymnastics,0,0,24,0,719,791,24451,746,0.0,0.0,0.0,0.0009815549466279498
ALG,Handball,0,0,59,0,384,381,2880,388,0.0,0.0,0.0,0.02048611111111111
ALG,Judo,1,0,52,1,325,162,3668,162,0.0,0.006172839506172839,0.003076923076923077,0.014176663031624863
ALG,Karate,0,0,1,0,16,8,49,8,0.0,0.0,0.0,0.02040816326530612
ALG,Marathon Swimming,0,0,1,0,2,2,45,2,0.0,0.0,0.0,0.022222222222222223
ALG,Rowing,0,0,12,0,1038,1026,8032,1025,0.0,0.0,0.0,0.00149402390438247
ALG,Sailing,0,0,5,0,382,465,5659,430,0.0,0.0,0.0,0.0008835483300936561
ALG,Shooting,0,0,3,0,425,428,10743,429,0.0,0.0,0.0,0.00027925160569673273
