Name,NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count,Cutoff Year,TOPSIS Score,TOPSIS Rank
Kimia Yousofi,AFG,Athletics,0,0,1,0,0,1,2020,0,22629
Mahmood Noor,AFG,Athletics,0,0,1,0,0,1,2020,0,22629
Mahdi Yovari,AFG,Shooting,0,0,1,0,0,1,2020,0,22629
Fahim Anwari,AFG,Swimming,0,0,1,0,0,1,2020,0,22629
Farzad Mansouri,AFG,Taekwondo,0,0,1,0,0,1,2020,0,22629
Churandy Martina,AHO,Athletics,0,0,3,0,0,3,2020,0.002327667,8721
Philip Elhage,AHO,Shooting,0,0,1,0,0,1,2020,0,22629
Matvei Petrov,ALB,Artistic Gymnastics,0,0,1,0,0,1,2020,0,22629
Izmir Smajlaj,ALB,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Luiza Gega,ALB,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Indrit Cullhaj,ALB,Judo,0,0,1,0,0,1,2020,0,22629
Majlinda Kelmendi,ALB,Judo,0,0,1,0,0,1,2020,0,22629
Manuela Delilaj,ALB,Shooting,0,0,2,0,0,2,2020,0.001165157,11953
Kledi Kadiu,ALB,Swimming,0,0,1,0,0,1,2020,0,22629
Nikol Merizaj,ALB,Swimming,0,0,2,0,0,2,2020,0.001165157,11953
Briken Calja,ALB,Weightlifting,0,0,3,0,0,3,2020,0.002327667,8721
Erkand Qerimaj,ALB,Weightlifting,0,0,2,0,0,2,2020,0.001165157,11953
Abdelmalik Lahoulou,ALG,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Bilal Tabti,ALG,Athletics,0,0,1,0,0,1,2020,0,22629
Hichem Bouchicha,ALG,Athletics,0,0,1,0,0,1,2020,0,22629
Loubna Benhadja,ALG,Athletics,0,0,1,0,0,1,2020,0,22629
Mohamed Triki,ALG,Athletics,0,0,1,0,0,1,2020,0,22629
Yassine Hethat,ALG,Athletics,0,0,2,0,0,2,2020,0.001165157,11953
Abdelhafid Benchabla,ALG,Boxing,0,0,4,0,0,4,2020,0.003487533,7794
Chouaib Bouloudinats,ALG,Boxing,0,0,3,0,0,3,2020,0.002327667,8721
