NOC,Sport,Participant Count
AFG,Athletics,2
AFG,Cycling Road,2
AFG,Judo,1
AFG,Swimming,1
AIN,Canoe Sprint,5
AIN,Cycling Road,4
AIN,Rowing,2
AIN,Shooting,2
AIN,Swimming,4
AIN,Taekwondo,1
AIN,Tennis,7
AIN,Trampoline Gymnastics,3
AIN,Weightlifting,2
AIN,Wrestling,2
ALB,Athletics,2
ALB,Shooting,1
ALB,Swimming,2
ALB,Wrestling,3
ALG,Artistic Gymnastics,1
ALG,Athletics,8
ALG,Badminton,2
ALG,Boxing,5
ALG,Canoe Slalom,1
ALG,Cycling Road,2
ALG,Fencing,5
ALG,Judo,3
ALG,Rowing,2
ALG,Sailing,1
ALG,Shooting,3
ALG,Swimming,2
ALG,Table Tennis,2
ALG,Weightlifting,1
ALG,Wrestling,8
AND,Athletics,1
AND,Canoe Slalom,1
ANG,Athletics,1
ANG,Canoe Sprint,2
ANG,Handball,15
ANG,Judo,1
ANG,Rowing,1
ANG,Sailing,3
ANG,Swimming,2
ANT,Athletics,2
ANT,Sailing,1
ANT,Swimming,2
ARG,Archery,1
ARG,Athletics,6
ARG,Canoe Sprint,2
ARG,Cycling BMX Freestyle,1
ARG,Cycling BMX Racing,2
ARG,Cycling Road,1
ARG,Equestrian,1
ARG,Fencing,1
ARG,Football,18
ARG,Golf,2
ARG,Handball,15
ARG,Hockey,34
ARG,Judo,1
ARG,Modern Pentathlon,1
ARG,Rowing,4
ARG,Rugby Sevens,14
ARG,Sailing,7
ARG,Shooting,3
ARG,Skateboarding,2
ARG,Swimming,3
ARG,Table Tennis,1
ARG,Taekwondo,1
ARG,Tennis,8
ARG,Triathlon,1
ARG,Volleyball,13
ARM,Artistic Gymnastics,2
ARM,Athletics,1
ARM,Boxing,1
ARM,Shooting,1
ARM,Swimming,2
ARM,Weightlifting,3
ARM,Wrestling,5
ARU,Cycling BMX Racing,1
ARU,Sailing,2
ARU,Shooting,1
ARU,Swimming,2
ASA,Athletics,1
ASA,Swimming,1
AUS,3x3 Basketball,4
AUS,"3x3 Basketball, Basketball",1
AUS,Archery,2
AUS,Artistic Gymnastics,6
AUS,Artistic Swimming,9
AUS,Athletics,78
AUS,Badminton,3
AUS,Basketball,23
AUS,Beach Volleyball,6
AUS,Boxing,12
AUS,Breaking,2
AUS,Canoe Slalom,4
AUS,Canoe Sprint,11
AUS,Cycling BMX Freestyle,2
AUS,Cycling BMX Racing,3
AUS,Cycling Mountain Bike,1
AUS,Cycling Road,7
AUS,Cycling Track,15
AUS,Diving,9
AUS,Equestrian,12
AUS,Football,19
AUS,Golf,4
AUS,Hockey,35
AUS,Judo,3
AUS,Marathon Swimming,3
AUS,"Marathon Swimming, Swimming",1
AUS,Modern Pentathlon,1
AUS,Rhythmic Gymnastics,6
AUS,Rowing,37
AUS,Rugby Sevens,25
AUS,Sailing,12
AUS,Shooting,10
AUS,Skateboarding,9
AUS,Sport Climbing,2
AUS,Surfing,4
AUS,Swimming,40
AUS,Table Tennis,6
AUS,Taekwondo,3
AUS,Tennis,9
AUS,Trampoline Gymnastics,1
AUS,Triathlon,4
AUS,Water Polo,26
AUS,Weightlifting,3
AUS,Wrestling,2
AUT,Archery,1
AUT,Artistic Gymnastics,1
AUT,Artistic Swimming,2
AUT,Athletics,7
AUT,Badminton,1
AUT,Beach Volleyball,2
AUT,Canoe Slalom,3
AUT,Cycling Mountain Bike,3
AUT,Cycling Road,4
AUT,Cycling Track,3
AUT,Diving,1
AUT,Equestrian,10
AUT,Golf,3
AUT,Judo,6
AUT,Marathon Swimming,1
AUT,"Marathon Swimming, Swimming",1
AUT,Rowing,3
AUT,Sailing,9
AUT,Shooting,5
AUT,Sport Climbing,2
AUT,Swimming,6
AUT,Table Tennis,2
AUT,Taekwondo,1
AUT,Tennis,2
AUT,Trampoline Gymnastics,1
AUT,Triathlon,4
AZE,3x3 Basketball,4
AZE,Archery,1
AZE,Athletics,1
AZE,Badminton,2
AZE,Boxing,5
AZE,Fencing,1
AZE,Judo,9
AZE,Rhythmic Gymnastics,6
AZE,Rowing,1
AZE,Shooting,1
AZE,Swimming,2
AZE,Taekwondo,1
AZE,Trampoline Gymnastics,1
AZE,Triathlon,1
AZE,Wrestling,12
BAH,Athletics,17
BAH,Swimming,2
BAN,Archery,1
BAN,Athletics,1
BAN,Shooting,1
BAN,Swimming,2
BAR,Athletics,2
BAR,Swimming,1
BAR,Triathlon,1
BDI,Athletics,4
BDI,Judo,1
BDI,Swimming,2
BEL,Artistic Gymnastics,5
BEL,Athletics,43
BEL,Badminton,2
BEL,Basketball,12
BEL,Boxing,3
BEL,Canoe Sprint,3
BEL,Cycling BMX Racing,4
BEL,Cycling Mountain Bike,3
BEL,Cycling Road,7
BEL,"Cycling Road, Cycling Track",1
BEL,Cycling Track,9
BEL,Equestrian,12
BEL,Fencing,1
BEL,Golf,3
BEL,Hockey,38
BEL,Judo,4
BEL,Rowing,3
BEL,Sailing,8
BEL,Sport Climbing,1
BEL,Swimming,4
BEL,Table Tennis,2
BEL,Taekwondo,1
BEL,Tennis,3
BEL,Triathlon,4
BEL,Weightlifting,1
BEN,Athletics,2
BEN,Judo,1
BEN,Swimming,2
BER,Athletics,1
BER,Rowing,1
BER,Sailing,1
BER,Swimming,2
BER,Triathlon,3
BHU,Archery,1
BHU,Athletics,1
BHU,Swimming,1
BIH,Athletics,1
BIH,Judo,2
BIH,Swimming,2
BIZ,Athletics,1
BOL,Athletics,2
BOL,Swimming,2
BOT,Athletics,12
BOT,Swimming,2
BRA,Archery,2
BRA,Artistic Gymnastics,7
BRA,Athletics,43
BRA,Badminton,2
BRA,Basketball,12
BRA,Beach Volleyball,8
BRA,Boxing,10
BRA,Canoe Slalom,2
BRA,Canoe Sprint,6
BRA,Cycling BMX Freestyle,1
BRA,Cycling BMX Racing,1
BRA,Cycling Mountain Bike,2
BRA,Cycling Road,2
BRA,Diving,1
BRA,Equestrian,9
BRA,Fencing,3
BRA,Football,22
BRA,Handball,17
BRA,Judo,13
BRA,Marathon Swimming,2
BRA,"Marathon Swimming, Swimming",1
BRA,Modern Pentathlon,1
BRA,Rhythmic Gymnastics,6
BRA,Rowing,2
BRA,Rugby Sevens,14
BRA,Sailing,12
BRA,Shooting,3
BRA,Skateboarding,12
BRA,Surfing,6
BRA,Swimming,17
BRA,Table Tennis,6
BRA,Taekwondo,4
BRA,Tennis,5
BRA,Trampoline Gymnastics,2
BRA,Triathlon,4
BRA,Volleyball,26
BRA,Weightlifting,2
BRA,Wrestling,1
BRN,Athletics,8
BRN,Judo,1
BRN,Swimming,2
BRN,Weightlifting,2
BRN,Wrestling,1
BRU,Athletics,1
BRU,Swimming,2
BUL,Artistic Gymnastics,2
BUL,Athletics,5
BUL,Badminton,3
BUL,Boxing,5
BUL,Canoe Sprint,1
BUL,Fencing,1
BUL,Judo,2
BUL,Modern Pentathlon,1
BUL,Rhythmic Gymnastics,7
BUL,Rowing,2
BUL,Shooting,2
BUL,Swimming,4
BUL,Taekwondo,1
BUL,Tennis,1
BUL,Weightlifting,3
BUL,Wrestling,6
BUR,Athletics,2
BUR,Cycling Road,1
BUR,Judo,1
BUR,Swimming,2
BUR,Taekwondo,2
CAF,Athletics,1
CAF,Judo,1
CAF,Swimming,2
CAM,Athletics,1
CAM,Swimming,2
CAN,3x3 Basketball,4
CAN,Archery,2
CAN,Artistic Gymnastics,10
CAN,Artistic Swimming,9
CAN,Athletics,50
CAN,Badminton,4
CAN,Basketball,24
CAN,Beach Volleyball,6
CAN,Boxing,2
CAN,Breaking,1
CAN,Canoe Slalom,2
CAN,Canoe Sprint,13
CAN,Cycling BMX Freestyle,1
CAN,Cycling BMX Racing,1
CAN,Cycling Mountain Bike,2
CAN,Cycling Road,4
CAN,Cycling Track,18
CAN,Diving,5
CAN,Equestrian,12
CAN,Fencing,15
CAN,Football,19
CAN,Golf,4
CAN,Judo,7
CAN,Marathon Swimming,1
CAN,Rowing,11
CAN,Rugby Sevens,14
CAN,Sailing,6
CAN,Shooting,3
CAN,Skateboarding,4
CAN,Surfing,1
CAN,Swimming,28
CAN,Table Tennis,4
CAN,Taekwondo,2
CAN,Tennis,5
CAN,Trampoline Gymnastics,1
CAN,Triathlon,3
CAN,Volleyball,13
CAN,Water Polo,13
CAN,Weightlifting,2
CAN,Wrestling,6
CAY,Athletics,1
CAY,Sailing,1
CAY,Swimming,2
CGO,Athletics,1
CGO,Swimming,2
CGO,Table Tennis,1
CHA,Archery,1
CHA,Athletics,1
CHA,Judo,1
CHI,Archery,1
CHI,Athletics,9
CHI,Beach Volleyball,2
CHI,Canoe Sprint,3
CHI,Cycling BMX Freestyle,1
CHI,Cycling BMX Racing,1
CHI,Cycling Mountain Bike,1
CHI,Cycling Road,1
CHI,Equestrian,1
CHI,Fencing,1
CHI,Golf,2
CHI,Judo,2
CHI,Modern Pentathlon,1
CHI,Rowing,4
CHI,Sailing,2
CHI,Shooting,2
CHI,Swimming,2
CHI,Table Tennis,3
CHI,Taekwondo,2
CHI,Tennis,3
CHI,Triathlon,2
CHI,Wrestling,2
CHN,3x3 Basketball,8
CHN,Archery,6
CHN,Artistic Gymnastics,10
CHN,Artistic Swimming,9
CHN,Athletics,54
CHN,Badminton,16
CHN,Basketball,12
CHN,Beach Volleyball,2
CHN,Boxing,8
CHN,Breaking,3
CHN,Canoe Slalom,3
CHN,Canoe Sprint,15
CHN,Cycling BMX Freestyle,2
CHN,Cycling Mountain Bike,2
CHN,Cycling Road,2
CHN,Cycling Track,9
CHN,Diving,10
CHN,Equestrian,2
CHN,Fencing,15
CHN,Golf,4
CHN,Hockey,17
CHN,Judo,6
CHN,Marathon Swimming,1
CHN,Modern Pentathlon,3
CHN,Rhythmic Gymnastics,6
CHN,Rowing,14
CHN,Rugby Sevens,14
CHN,Sailing,13
CHN,Shooting,21
CHN,Skateboarding,4
CHN,Sport Climbing,7
CHN,Surfing,1
CHN,Swimming,31
CHN,Table Tennis,6
CHN,Taekwondo,6
CHN,Tennis,7
CHN,Trampoline Gymnastics,4
CHN,Triathlon,1
CHN,Volleyball,13
CHN,Water Polo,13
CHN,Weightlifting,6
CHN,Wrestling,12
CIV,Athletics,7
CIV,Fencing,2
CIV,Judo,1
CIV,Taekwondo,3
CMR,Athletics,2
CMR,Judo,1
CMR,Swimming,2
CMR,Table Tennis,1
COD,Athletics,1
COD,Boxing,2
COD,Judo,1
COD,Swimming,2
COK,Athletics,1
COK,Swimming,1
COL,Archery,4
COL,Artistic Gymnastics,2
COL,Athletics,18
COL,Boxing,5
COL,Canoe Sprint,1
COL,Cycling BMX Freestyle,1
COL,Cycling BMX Racing,5
COL,Cycling Mountain Bike,1
COL,Cycling Road,3
COL,Cycling Track,5
COL,Diving,3
COL,Equestrian,1
COL,Fencing,1
COL,Football,19
COL,Golf,3
COL,Judo,1
COL,Sailing,1
COL,Skateboarding,1
COL,Swimming,2
COL,Tennis,1
COL,Trampoline Gymnastics,1
COL,Triathlon,1
COL,Weightlifting,4
COL,Wrestling,4
COM,Athletics,1
COM,Canoe Slalom,1
COM,Swimming,2
CPV,Athletics,1
CPV,Boxing,2
CPV,Fencing,1
CPV,Judo,1
CPV,Swimming,2
CRC,Athletics,1
CRC,Cycling Road,1
CRC,Judo,1
CRC,Surfing,1
CRC,Swimming,2
CRO,Artistic Gymnastics,2
CRO,Athletics,9
CRO,Boxing,1
CRO,Canoe Slalom,1
CRO,Canoe Sprint,1
CRO,Cycling BMX Freestyle,1
CRO,Handball,14
CRO,Judo,3
CRO,Rowing,5
CRO,Sailing,6
CRO,Shooting,3
CRO,Swimming,3
CRO,Table Tennis,4
CRO,Taekwondo,3
CRO,Tennis,4
CRO,Water Polo,13
CUB,Archery,1
CUB,Athletics,18
CUB,Beach Volleyball,2
CUB,Boxing,5
CUB,Canoe Sprint,3
CUB,Cycling Road,1
CUB,Diving,2
CUB,Judo,4
CUB,Modern Pentathlon,1
CUB,Rowing,2
CUB,Shooting,4
CUB,Swimming,2
CUB,Table Tennis,3
CUB,Taekwondo,2
CUB,Weightlifting,1
CUB,Wrestling,10
CYP,Artistic Gymnastics,1
CYP,Athletics,3
CYP,Cycling Road,1
CYP,Fencing,1
CYP,Judo,1
CYP,Rhythmic Gymnastics,1
CYP,Sailing,4
CYP,Shooting,1
CYP,Swimming,2
CZE,Archery,2
CZE,Artistic Gymnastics,1
CZE,Athletics,30
CZE,Badminton,4
CZE,Beach Volleyball,4
CZE,Canoe Slalom,5
CZE,Canoe Sprint,6
CZE,Cycling BMX Freestyle,1
CZE,Cycling Mountain Bike,2
CZE,Cycling Road,2
CZE,Cycling Track,2
CZE,Equestrian,2
CZE,Fencing,5
CZE,Golf,2
CZE,Judo,3
CZE,Marathon Swimming,1
CZE,Modern Pentathlon,4
CZE,Rowing,6
CZE,Sailing,3
CZE,Shooting,9
CZE,Sport Climbing,1
CZE,Swimming,4
CZE,Table Tennis,1
CZE,Taekwondo,2
CZE,Tennis,7
CZE,Triathlon,1
CZE,Weightlifting,1
DEN,Archery,1
DEN,Athletics,4
DEN,Badminton,9
DEN,Boxing,1
DEN,Canoe Sprint,7
DEN,Cycling BMX Racing,2
DEN,Cycling Mountain Bike,3
DEN,Cycling Road,5
DEN,"Cycling Road, Cycling Track",1
DEN,Cycling Track,7
DEN,Equestrian,6
DEN,Golf,4
DEN,Handball,32
DEN,Judo,1
DEN,Rowing,16
DEN,Sailing,9
DEN,Shooting,3
DEN,Skateboarding,1
DEN,Swimming,7
DEN,Table Tennis,3
DEN,Taekwondo,1
DEN,Tennis,2
DEN,Triathlon,2
DEN,Wrestling,1
DJI,Athletics,4
DJI,Judo,1
DJI,Swimming,2
DMA,Athletics,2
DMA,Swimming,2
DOM,Artistic Gymnastics,1
DOM,Athletics,9
DOM,Boxing,3
DOM,Diving,3
DOM,Equestrian,1
DOM,Football,19
DOM,Judo,2
DOM,Shooting,1
DOM,Swimming,2
DOM,Taekwondo,2
DOM,Volleyball,12
DOM,Weightlifting,3
DOM,Wrestling,1
ECU,Athletics,15
ECU,Boxing,3
ECU,Cycling BMX Racing,1
ECU,Cycling Road,1
ECU,Equestrian,3
ECU,Judo,1
ECU,Marathon Swimming,1
