Name,NOC,Sport,Participation_Count,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals,TOPSIS Score,TOPSIS Score Sum,
Kimia Yousofi,AFG,Athletics,1,0,0,0,0,0,0,1
Mahmood Noor,AFG,Athletics,1,0,0,0,0,0,0,1
Mahdi Yovari,AFG,Shooting,1,0,0,0,0,0,0,1
Fahim Anwari,AFG,Swimming,1,0,0,0,0,0,0,1
Farzad Mansouri,AFG,Taekwondo,1,0,0,0,0,0,0,1
Churandy Martina,AHO,Athletics,3,0,0,0,0,0.002248224,0.002248224,1
Philip Elhage,AHO,Shooting,1,0,0,0,0,0,0,1
Matvei Petrov,ALB,Artistic Gymnastics,1,0,0,0,0,0,0,1
Izmir Smajlaj,ALB,Athletics,2,0,0,0,0,0.001125348,0.002250696,1
Luiza Gega,ALB,Athletics,2,0,0,0,0,0.001125348,0.002250696,1
Indrit Cullhaj,ALB,Judo,1,0,0,0,0,0,0,1
Majlinda Kelmendi,ALB,Judo,1,0,0,0,0,0,0,1
Manuela Delilaj,ALB,Shooting,2,0,0,0,0,0.001125348,0.001125348,1
Kledi Kadiu,ALB,Swimming,1,0,0,0,0,0,0.001125348,1
Nikol Merizaj,ALB,Swimming,2,0,0,0,0,0.001125348,0.001125348,1
Briken Calja,ALB,Weightlifting,3,0,0,0,0,0.002248224,0.003373572,1
Erkand Qerimaj,ALB,Weightlifting,2,0,0,0,0,0.001125348,0.003373572,1
Abdelmalik Lahoulou,ALG,Athletics,2,0,0,0,0,0.001125348,0.002250696,1
Hichem Bouchicha,ALG,Athletics,1,0,0,0,0,0,0.002250696,1
Loubna Benhadja,ALG,Athletics,1,0,0,0,0,0,0.002250696,1
Mohamed Triki,ALG,Athletics,1,0,0,0,0,0,0.002250696,1
Yassine Hethat,ALG,Athletics,2,0,0,0,0,0.001125348,0.002250696,1
Abdelhafid Benchabla,ALG,Boxing,4,0,0,0,0,0.003368633,0.007865082,1
Chouaib Bouloudinats,ALG,Boxing,3,0,0,0,0,0.002248224,0.007865082,1
Ichrak Chaib,ALG,Boxing,1,0,0,0,0,0,0.007865082,1
Imane Khelif,ALG,Boxing,1,0,0,0,0,0,0.007865082,1
Mohamed Flissi,ALG,Boxing,3,0,0,0,0,0.002248224,0.007865082,1
Mohammed Houmri,ALG,Boxing,1,0,0,0,0,0,0.007865082,1
Roumaysa Boualam,ALG,Boxing,1,0,0,0,0,0,0.007865082,1
Younes Nemouchi,ALG,Boxing,1,0,0,0,0,0,0.007865082,1
Amira Kheris,ALG,Canoe Sprint,2,0,0,0,0,0.001125348,0.001125348,1
Azzedine Lagab,ALG,Cycling Road,2,0,0,0,0,0.001125348,0.001125348,1
Hamza Mansouri,ALG,Cycling Road,1,0,0,0,0,0,0.001125348,1
Akram Bounabi,ALG,Fencing,1,0,0,0,0,0,0,1
Kaouther Mohamed,ALG,Fencing,1,0,0,0,0,0,0,1
Meriem Mebarki,ALG,Fencing,1,0,0,0,0,0,0,1
Salim Heroui,ALG,Fencing,1,0,0,0,0,0,0,1
Fethi Nourine,ALG,Judo,1,0,0,0,0,0,0.002248224,1
Sonia Asselah,ALG,Judo,3,0,0,0,0,0.002248224,0.002248224,1
Lamya Matoub,ALG,Karate,1,0,0,0,0,0,0,1
Nefissa Cherouati,ALG,Marathon Swimming,1,0,0,0,0,0,0,1
Ali Boudina,ALG,Rowing,1,0,0,0,0,0,0,1
Kamel Ait,ALG,Rowing,1,0,0,0,0,0,0,1
Hamza Bouras,ALG,Sailing,2,0,0,0,0,0.001125348,0.001125348,1
Nadjet Berrichi,ALG,Sailing,1,0,0,0,0,0,0.001125348,1
Houda Chaabi,ALG,Shooting,1,0,0,0,0,0,0,1
Amel Melih,ALG,Swimming,2,0,0,0,0,0.001125348,0.004493981,1
Oussama Sahnoune,ALG,Swimming,4,0,0,0,0,0.003368633,0.004493981,1
Larbi Bouriah,ALG,Table Tennis,1,0,0,0,0,0,0,1
Walid Bidani,ALG,Weightlifting,3,0,0,0,0,0.002248224,0.002248224,1
Abdelhak Kherbache,ALG,Wrestling,1,0,0,0,0,0,0.001125348,1
Abdelkarim Fergat,ALG,Wrestling,1,0,0,0,0,0,0.001125348,1
Abdelmalek Merabet,ALG,Wrestling,1,0,0,0,0,0,0.001125348,1
Adem Boudjemline,ALG,Wrestling,2,0,0,0,0,0.001125348,0.001125348,1
Bachir Sid,ALG,Wrestling,1,0,0,0,0,0,0.001125348,1
Djahid Berrahal,ALG,Wrestling,1,0,0,0,0,0,0.001125348,1
Fateh Benferdjallah,ALG,Wrestling,1,0,0,0,0,0,0.001125348,1
Mohammed Fardj,ALG,Wrestling,1,0,0,0,0,0,0.001125348,1
Pol Moya,AND,Athletics,1,0,0,0,0,0,0,1
Monica Doria,AND,Canoe Slalom,2,0,0,0,0,0.001125348,0.001125348,1
Aveni Miguel,ANG,Athletics,1,0,0,0,0,0,0,1
Albertina Kassoma,ANG,Handball,2,0,0,0,0,0.001125348,0.01348935,1
Azenaide Carlos,ANG,Handball,4,0,0,0,0,0.003368633,0.01348935,1
Helena Paulo,ANG,Handball,1,0,0,0,0,0,0.01348935,1
Helena Sousa,ANG,Handball,1,0,0,0,0,0,0.01348935,1
Isabel Guialo,ANG,Handball,3,0,0,0,0,0.002248224,0.01348935,1
Juliana Machado,ANG,Handball,2,0,0,0,0,0.001125348,0.01348935,1
Liliana Venancio,ANG,Handball,1,0,0,0,0,0,0.01348935,1
Magda Cazanga,ANG,Handball,3,0,0,0,0,0.002248224,0.01348935,1
Marilia Quizelete,ANG,Handball,1,0,0,0,0,0,0.01348935,1
Natalia Fonseca,ANG,Handball,1,0,0,0,0,0,0.01348935,1
Natalia Santos,ANG,Handball,1,0,0,0,0,0,0.01348935,1
Stelvia Pascoal,ANG,Handball,1,0,0,0,0,0,0.01348935,1
Teresa Almeida,ANG,Handball,2,0,0,0,0,0.001125348,0.01348935,1
Wuta Dombaxi,ANG,Handball,3,0,0,0,0,0.002248224,0.01348935,1
Diassonema Mucungui,ANG,Judo,1,0,0,0,0,0,0,1
Matias Montinho,ANG,Sailing,2,0,0,0,0,0.001125348,0.001125348,1
Paixao Afonso,ANG,Sailing,1,0,0,0,0,0,0.001125348,1
Catarina Sousa,ANG,Swimming,1,0,0,0,0,0,0.003368633,1
Jorge Lima,ANG,Swimming,4,0,0,0,0,0.003368633,0.003368633,1
Salvador Gordo,ANG,Swimming,1,0,0,0,0,0,0.003368633,1
Cejhae Greene,ANT,Athletics,3,0,0,0,0,0.002248224,0.002248224,1
Joella Lloyd,ANT,Athletics,1,0,0,0,0,0,0.002248224,1
Alston Ryan,ANT,Boxing,1,0,0,0,0,0,0,1
Jalese Gordon,ANT,Sailing,1,0,0,0,0,0,0,1
Samantha Roberts,ANT,Swimming,2,0,0,0,0,0.001125348,0.001125348,1
Stefano Mitchell,ANT,Swimming,1,0,0,0,0,0,0.001125348,1
Abigail Magistrati,ARG,Artistic Gymnastics,5,0,0,0,0,0.004486578,0.004486578,1
Belen Casetta,ARG,Athletics,1,0,0,0,0,0,0,1
Cristina Gomez,ARG,Athletics,1,0,0,0,0,0,0,1
Eulalio Munoz,ARG,Athletics,1,0,0,0,0,0,0,1
