Name,NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count,Cutoff Year
Kimia Yousofi,AFG,Athletics,0,0,1,0,0,1,2020
Mahmood Noor,AFG,Athletics,0,0,1,0,0,1,2020
Mahdi Yovari,AFG,Shooting,0,0,1,0,0,1,2020
Fahim Anwari,AFG,Swimming,0,0,1,0,0,1,2020
Farzad Mansouri,AFG,Taekwondo,0,0,1,0,0,1,2020
Churandy Martina,AHO,Athletics,0,0,3,0,0,3,2020
Philip Elhage,AHO,Shooting,0,0,1,0,0,1,2020
Matvei Petrov,ALB,Artistic Gymnastics,0,0,1,0,0,1,2020
Izmir Smajlaj,ALB,Athletics,0,0,2,0,0,2,2020
Luiza Gega,ALB,Athletics,0,0,2,0,0,2,2020
Indrit Cullhaj,ALB,Judo,0,0,1,0,0,1,2020
Majlinda Kelmendi,ALB,Judo,0,0,1,0,0,1,2020
Manuela Delilaj,ALB,Shooting,0,0,2,0,0,2,2020
Kledi Kadiu,ALB,Swimming,0,0,1,0,0,1,2020
Nikol Merizaj,ALB,Swimming,0,0,2,0,0,2,2020
Briken Calja,ALB,Weightlifting,0,0,3,0,0,3,2020
Erkand Qerimaj,ALB,Weightlifting,0,0,2,0,0,2,2020
Abdelmalik Lahoulou,ALG,Athletics,0,0,2,0,0,2,2020
Bilal Tabti,ALG,Athletics,0,0,1,0,0,1,2020
Hichem Bouchicha,ALG,Athletics,0,0,1,0,0,1,2020
Loubna Benhadja,ALG,Athletics,0,0,1,0,0,1,2020
Mohamed Triki,ALG,Athletics,0,0,1,0,0,1,2020
Yassine Hethat,ALG,Athletics,0,0,2,0,0,2,2020
Abdelhafid Benchabla,ALG,Boxing,0,0,4,0,0,4,2020
Chouaib Bouloudinats,ALG,Boxing,0,0,3,0,0,3,2020
Ichrak Chaib,ALG,Boxing,0,0,1,0,0,1,2020
Imane Khelif,ALG,Boxing,0,0,1,0,0,1,2020
Mohamed Flissi,ALG,Boxing,0,0,3,0,0,3,2020
Mohammed Houmri,ALG,Boxing,0,0,1,0,0,1,2020
Roumaysa Boualam,ALG,Boxing,0,0,1,0,0,1,2020
Younes Nemouchi,ALG,Boxing,0,0,1,0,0,1,2020
Amira Kheris,ALG,Canoe Sprint,0,0,2,0,0,2,2020
Azzedine Lagab,ALG,Cycling Road,0,0,2,0,0,2,2020
Hamza Mansouri,ALG,Cycling Road,0,0,1,0,0,1,2020
Akram Bounabi,ALG,Fencing,0,0,1,0,0,1,2020
Kaouther Mohamed,ALG,Fencing,0,0,1,0,0,1,2020
Meriem Mebarki,ALG,Fencing,0,0,1,0,0,1,2020
Salim Heroui,ALG,Fencing,0,0,1,0,0,1,2020
Fethi Nourine,ALG,Judo,0,0,1,0,0,1,2020
Sonia Asselah,ALG,Judo,0,0,3,0,0,3,2020
Lamya Matoub,ALG,Karate,0,0,1,0,0,1,2020
Nefissa Cherouati,ALG,Marathon Swimming,0,0,1,0,0,1,2020
Ali Boudina,ALG,Rowing,0,0,1,0,0,1,2020
