Name,NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total Medals,Participation Count,Cutoff Year,TOPSIS Score,TOPSIS Rank
Kimia Yousofi,AFG,Athletics,0,0,1,0,0,1,2020,0.0,23451
Mahmood Noor,AFG,Athletics,0,0,1,0,0,1,2020,0.0,23451
Mahdi Yovari,AFG,Shooting,0,0,1,0,0,1,2020,0.0,23451
Fahim Anwari,AFG,Swimming,0,0,1,0,0,1,2020,0.0,23451
Farzad Mansouri,AFG,Taekwondo,0,0,1,0,0,1,2020,0.0,23451
Churandy Martina,AHO,Athletics,0,0,3,0,0,3,2020,0.0022482243524647905,8771
Philip Elhage,AHO,Shooting,0,0,1,0,0,1,2020,0.0,23451
Matvei Petrov,ALB,Artistic Gymnastics,0,0,1,0,0,1,2020,0.0,23451
Izmir Smajlaj,ALB,Athletics,0,0,2,0,0,2,2020,0.001125347976850006,12106
Luiza Gega,ALB,Athletics,0,0,2,0,0,2,2020,0.001125347976850006,12106
Indrit Cullhaj,ALB,Judo,0,0,1,0,0,1,2020,0.0,23451
Majlinda Kelmendi,ALB,Judo,0,0,1,0,0,1,2020,0.0,23451
Manuela Delilaj,ALB,Shooting,0,0,2,0,0,2,2020,0.001125347976850006,12106
Kledi Kadiu,ALB,Swimming,0,0,1,0,0,1,2020,0.0,23451
Nikol Merizaj,ALB,Swimming,0,0,2,0,0,2,2020,0.001125347976850006,12106
Briken Calja,ALB,Weightlifting,0,0,3,0,0,3,2020,0.0022482243524647905,8771
Erkand Qerimaj,ALB,Weightlifting,0,0,2,0,0,2,2020,0.001125347976850006,12106
Abdelmalik Lahoulou,ALG,Athletics,0,0,2,0,0,2,2020,0.001125347976850006,12106
Bilal Tabti,ALG,Athletics,0,0,1,0,0,1,2020,0.0,23451
Hichem Bouchicha,ALG,Athletics,0,0,1,0,0,1,2020,0.0,23451
Loubna Benhadja,ALG,Athletics,0,0,1,0,0,1,2020,0.0,23451
Mohamed Triki,ALG,Athletics,0,0,1,0,0,1,2020,0.0,23451
Yassine Hethat,ALG,Athletics,0,0,2,0,0,2,2020,0.001125347976850006,12106
Abdelhafid Benchabla,ALG,Boxing,0,0,4,0,0,4,2020,0.00336863300103117,7824
Chouaib Bouloudinats,ALG,Boxing,0,0,3,0,0,3,2020,0.0022482243524647905,8771
Ichrak Chaib,ALG,Boxing,0,0,1,0,0,1,2020,0.0,23451
Imane Khelif,ALG,Boxing,0,0,1,0,0,1,2020,0.0,23451
Mohamed Flissi,ALG,Boxing,0,0,3,0,0,3,2020,0.0022482243524647905,8771
Mohammed Houmri,ALG,Boxing,0,0,1,0,0,1,2020,0.0,23451
Roumaysa Boualam,ALG,Boxing,0,0,1,0,0,1,2020,0.0,23451
Younes Nemouchi,ALG,Boxing,0,0,1,0,0,1,2020,0.0,23451
Amira Kheris,ALG,Canoe Sprint,0,0,2,0,0,2,2020,0.001125347976850006,12106
Azzedine Lagab,ALG,Cycling Road,0,0,2,0,0,2,2020,0.001125347976850006,12106
Hamza Mansouri,ALG,Cycling Road,0,0,1,0,0,1,2020,0.0,23451
Akram Bounabi,ALG,Fencing,0,0,1,0,0,1,2020,0.0,23451
Kaouther Mohamed,ALG,Fencing,0,0,1,0,0,1,2020,0.0,23451
Meriem Mebarki,ALG,Fencing,0,0,1,0,0,1,2020,0.0,23451
Salim Heroui,ALG,Fencing,0,0,1,0,0,1,2020,0.0,23451
Fethi Nourine,ALG,Judo,0,0,1,0,0,1,2020,0.0,23451
Sonia Asselah,ALG,Judo,0,0,3,0,0,3,2020,0.0022482243524647905,8771
Lamya Matoub,ALG,Karate,0,0,1,0,0,1,2020,0.0,23451
Nefissa Cherouati,ALG,Marathon Swimming,0,0,1,0,0,1,2020,0.0,23451
Ali Boudina,ALG,Rowing,0,0,1,0,0,1,2020,0.0,23451
Kamel Ait,ALG,Rowing,0,0,1,0,0,1,2020,0.0,23451
Hamza Bouras,ALG,Sailing,0,0,2,0,0,2,2020,0.001125347976850006,12106
Nadjet Berrichi,ALG,Sailing,0,0,1,0,0,1,2020,0.0,23451
Houda Chaabi,ALG,Shooting,0,0,1,0,0,1,2020,0.0,23451
Amel Melih,ALG,Swimming,0,0,2,0,0,2,2020,0.001125347976850006,12106
Oussama Sahnoune,ALG,Swimming,0,0,4,0,0,4,2020,0.00336863300103117,7824
Larbi Bouriah,ALG,Table Tennis,0,0,1,0,0,1,2020,0.0,23451
Walid Bidani,ALG,Weightlifting,0,0,3,0,0,3,2020,0.0022482243524647905,8771
Abdelhak Kherbache,ALG,Wrestling,0,0,1,0,0,1,2020,0.0,23451
Abdelkarim Fergat,ALG,Wrestling,0,0,1,0,0,1,2020,0.0,23451
Abdelmalek Merabet,ALG,Wrestling,0,0,1,0,0,1,2020,0.0,23451
Adem Boudjemline,ALG,Wrestling,0,0,2,0,0,2,2020,0.001125347976850006,12106
