NOC,Sport,Medal_Increase_With_Coach
AUS,Athletics,11.355311226892665
AUS,Tennis,11.573840999640957
AUT,Cycling,11.136781454144375
AUT,Fencing,11.792370772389246
AUT,Swimming,11.355311226892665
DEN,Athletics,11.136781454144375
DEN,Fencing,11.792370772389246
DEN,Gymnastics,11.792370772389246
DEN,Shooting,10.481192135899501
DEN,Weightlifting,11.573840999640957
FRA,Athletics,9.38854327215805
FRA,Cycling,10.481192135899501
FRA,Fencing,11.136781454144375
FRA,Gymnastics,11.792370772389246
FRA,Shooting,11.792370772389246
FRA,Tennis,11.792370772389246
GBR,Athletics,10.481192135899501
GBR,Cycling,10.918251681396082
GBR,Gymnastics,11.792370772389246
GBR,Shooting,10.918251681396082
GBR,Tennis,11.136781454144375
GBR,Weightlifting,11.573840999640957
GBR,Wrestling,11.792370772389246
GER,Athletics,8.951483726661468
GER,Cycling,9.82560281765463
GER,Tennis,11.573840999640957
GER,Weightlifting,11.792370772389246
GER,Wrestling,11.792370772389246
GRE,Athletics,4.143828726199073
GRE,Cycling,8.732953953913174
GRE,Fencing,10.04413259040292
GRE,Gymnastics,9.38854327215805
GRE,Shooting,1.9585309987161672
GRE,Swimming,9.60707304490634
GRE,Tennis,9.170013499409759
GRE,Weightlifting,11.136781454144375
GRE,Wrestling,11.573840999640954
HUN,Athletics,10.918251681396082
HUN,Gymnastics,10.262662363151211
HUN,Swimming,11.573840999640957
HUN,Tennis,11.792370772389246
HUN,Weightlifting,11.792370772389246
HUN,Wrestling,11.792370772389246
ITA,Shooting,11.792370772389246
SUI,Gymnastics,10.481192135899501
SUI,Shooting,11.792370772389246
SWE,Athletics,11.136781454144375
SWE,Gymnastics,11.792370772389246
USA,Athletics,7.421775317423432
USA,Shooting,11.136781454144375
USA,Swimming,11.573840999640957
ARG,Fencing,11.792370772389246
AUS,Athletics,11.136781454144375
AUS,Swimming,11.573840999640957
AUT,Athletics,11.355311226892665
AUT,Equestrianism,10.699721908647792
AUT,Fencing,10.262662363151211
AUT,Swimming,10.04413259040292
BEL,Archery,10.262662363151211
BEL,Cycling,11.792370772389246
BEL,Equestrianism,8.732953953913178
BEL,Fencing,10.699721908647792
BEL,Football,10.04413259040292
BEL,Gymnastics,11.573840999640957
BEL,Rowing,9.60707304490634
BEL,Shooting,4.1438287261990725
BEL,Swimming,11.792370772389246
BEL,Water Polo,9.60707304490634
BOH,Athletics,10.918251681396082
BOH,Cycling,11.792370772389246
BOH,Gymnastics,11.792370772389246
BOH,Tennis,11.573840999640957
BRA,Athletics,11.355311226892665
CAN,Athletics,10.481192135899501
COL,Tug-Of-War,11.792370772389246
CUB,Fencing,11.573840999640957
DEN,Athletics,10.699721908647792
DEN,Fencing,11.792370772389246
DEN,Shooting,6.54765622643027
DEN,Swimming,11.792370772389246
DEN,Tug-Of-War,11.355311226892665
ESP,Basque Pelota,11.573840999640957
ESP,Equestrianism,11.792370772389246
ESP,Fencing,11.355311226892665
ESP,Rowing,10.699721908647792
FRA,Archery,8.077364635668305
FRA,Athletics,5.673537135437109
FRA,Cricket,11.355311226892665
FRA,Croquet,7.858834862920014
FRA,Equestrianism,1.7400012259678768
FRA,Football,9.170013499409759
FRA,Golf,10.481192135899501
FRA,Polo,10.262662363151211
FRA,Rugby,8.732953953913174
FRA,Tennis,7.8588348629200135
FRA,Tug-Of-War,10.918251681396082
FRA,Water Polo,6.110596680933689
GBR,Athletics,7.858834862920015
GBR,Cricket,7.421775317423432
GBR,Cycling,11.573840999640955
GBR,Equestrianism,11.792370772389246
GBR,Fencing,11.355311226892665
GBR,Football,9.38854327215805
GBR,Golf,10.918251681396082
GBR,Gymnastics,11.136781454144375
GBR,Polo,10.699721908647792
GBR,Rowing,11.792370772389246
GBR,Rugby,8.732953953913178
GBR,Sailing,7.858834862920014
GBR,Shooting,11.792370772389246
GBR,Swimming,8.951483726661468
GBR,Tennis,8.514424181164886
GBR,Water Polo,10.481192135899501
GER,Athletics,9.82560281765463
GER,Cycling,10.918251681396082
GER,Equestrianism,11.792370772389246
GER,Fencing,11.792370772389246
GER,Gymnastics,8.951483726661468
GER,Rowing,5.455007362688818
GER,Rugby,8.732953953913178
GER,Sailing,9.38854327215805
GER,Swimming,10.262662363151211
GER,Water Polo,10.481192135899501
GRE,Athletics,11.355311226892665
GRE,Golf,11.792370772389246
HAI,Fencing,11.355311226892665
HAI,Rugby,11.792370772389246
HUN,Athletics,7.421775317423432
HUN,Fencing,10.262662363151211
HUN,Gymnastics,11.573840999640955
HUN,Swimming,11.355311226892665
IND,Athletics,10.918251681396082
