Variable,Coefficient,P-value
Intercept,-10.174794083708854,0.5815773281418919
C(NOC)[T.AHO],6.59079232684657,0.8421448448291562
C(NOC)[T.AIN],0.026922203514743615,0.9993485754065752
C(NOC)[T.ALB],-3.9730777964844495,0.9040975595175462
C(NOC)[T.ALG],1.6611516792565704,0.937663662282067
C(NOC)[T.ANZ],25.69477513317754,0.345858840096285
C(NOC)[T.ARG],24.26036079981767,0.22342700476538574
C(NOC)[T.ARM],1.2452469725780826,0.9538805132275268
C(NOC)[T.AUS],57.96858325725404,0.003302354289447062
C(NOC)[T.AUT],18.0923078422912,0.3591396457196294
C(NOC)[T.AZE],5.191522996896282,0.8068739013774647
C(NOC)[T.BAH],7.200962611867919,0.7294883661991769
C(NOC)[T.BAR],-0.07245820817984949,0.99824748838183
C(NOC)[T.BDI],0.6742614217872829,0.9800253566578667
C(NOC)[T.BEL],22.091777169518423,0.2620360509279983
C(NOC)[T.BER],2.820169196667533,0.916731677630525
C(NOC)[T.BLR],17.643608824522374,0.4126189018316395
C(NOC)[T.BOH],25.08887571910472,0.31203434591818946
C(NOC)[T.BOT],0.5798093031945575,0.9811345924154462
C(NOC)[T.BRA],29.072444448974554,0.1446326637316668
C(NOC)[T.BRN],-1.3618799783474995,0.9533334071481139
C(NOC)[T.BUL],25.486258104838424,0.2040176999099108
C(NOC)[T.BUR],-4.5862580308661585,0.8893762835741094
C(NOC)[T.CAN],36.566567563016825,0.06352039672862614
C(NOC)[T.CHI],11.114225892974419,0.6015350336447993
C(NOC)[T.CHN],101.91379362919676,9.251181180710707e-07
C(NOC)[T.CIV],-2.055291676046606,0.929798935669387
C(NOC)[T.CMR],6.761750157758846,0.7638635699039407
C(NOC)[T.COL],5.308834946098988,0.7960613950545729
C(NOC)[T.CPV],-4.97307779648485,0.8801237619535778
C(NOC)[T.CRC],3.0179349284045234,0.9023757680093425
C(NOC)[T.CRO],17.33258818046288,0.4093393565706924
C(NOC)[T.CUB],31.457507132993168,0.11812759407174242
C(NOC)[T.CYP],-2.3371570297751996,0.9306193963249996
C(NOC)[T.CZE],9.56652299689652,0.6523786316656254
C(NOC)[T.DEN],32.16354591892584,0.10224225831793143
C(NOC)[T.DJI],6.590792326846339,0.84214484482916
C(NOC)[T.DMA],-4.973077796485084,0.880123761953571
C(NOC)[T.DOM],3.656326923277153,0.8651792074040678
C(NOC)[T.ECU],-0.3306572244342694,0.9886638091710027
C(NOC)[T.EGY],7.447847529820837,0.7186775183725087
C(NOC)[T.EOR],-4.9730777964850885,0.8801237619535702
C(NOC)[T.ERI],-0.18454483287705958,0.9955381361948696
C(NOC)[T.ESP],31.554161394140838,0.11341699749938984
C(NOC)[T.EST],6.359685091970591,0.7584428696637637
C(NOC)[T.ETH],7.962465086619526,0.6953726657703705
C(NOC)[T.EUN],223.4611096490006,2.0036773906734916e-11
C(NOC)[T.FIJ],13.417905449892567,0.5851683033282671
C(NOC)[T.FIN],22.558894462497292,0.2532164251089117
C(NOC)[T.FRA],64.94906425002512,0.0009791733936792577
C(NOC)[T.GAB],0.29876373693565705,0.9927420760314367
C(NOC)[T.GBR],75.49745134679813,0.0001286909870917329
C(NOC)[T.GEO],3.8165229968960603,0.8573761597433066
